,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
315,1,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:50:02.938,(12.77841;10.646564;4.988113),(-4.412745;53.629639;-5.294684)
316,2,AB,1,T2,IA_Move,started,Left,2024-10-25 13:50:05.483,(0.959301;28.324291;10.108757),(33.359985;-8.554653;29.413839)
317,3,AB,1,T2,IA_Move,started,Right,2024-10-25 13:50:05.566,(1.635104;23.667183;7.15184),(-31.865559;5.130094;-14.654709)
318,4,AB,1,T2,IA_Move,completed,Left,2024-10-25 13:50:05.622,(3.153461;26.217978;7.551125),(36.594406;2.479182;36.169857)
319,5,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:50:05.703,(5.495195;19.334597;4.735786),(-33.279312;11.891892;-22.525621)
320,6,AB,1,T2,IA_Grab,started,Left,2024-10-25 13:50:05.984,(9.469168;15.517465;3.601501),(38.51878;10.764311;71.602043)
321,7,AB,1,T2,IA_Grab,completed,Left,2024-10-25 13:50:06.203,(9.603877;27.872551;2.454155),(50.05278;-2.055461;80.84066)
322,8,AB,1,T2,IA_Move,started,Right,2024-10-25 13:50:12.650,(13.876892;11.664852;1.533485),(-15.725525;26.572741;-21.540253)
323,9,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:50:12.789,(12.262214;14.117086;3.193062),(-11.927942;25.780376;-15.433101)
324,10,AB,1,T2,IA_Menu_Toggle,started,Right,2024-10-25 13:50:19.038,(1.934508;20.094311;10.511307),(-38.770672;-12.258839;-52.044685)
325,11,AB,1,T2,IA_Menu_Toggle,completed,Right,2024-10-25 13:50:19.170,(1.96085;18.805328;10.365097),(-40.718151;-12.033925;-45.36718)
326,12,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:50:54.516,(27.056744;4.185127;24.536842),(22.40081;78.915298;4.466113)
327,13,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:50:54.628,(27.10397;4.535906;24.526031),(23.547667;78.177162;5.76478)
328,14,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:50:55.156,(27.724266;5.950247;23.942238),(-3.478425;80.971977;-19.044233)
329,15,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:50:55.239,(27.640064;6.043416;24.09201),(4.217392;80.771492;-11.438766)
