id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
10,"ALE","T2_BasicEmergency","[4.299992;4.301068;4.299498;4.29737;4.291235;4.28777;4.292959;4.288411;7.325411;14.875841;]","[0.028122;0.028752;0.029393;0.030027;0.030658;0.03133;0.032069;0.032725;0.033518;0.034878;]","[(41.151302;12159.994141);(41.339283;12160.516602);(41.160843;12160.349609);(40.961575;12160.387695);(39.817085;12156.917969);(38.800243;12152.486328);(39.295349;12152.443359);(40.311279;12161.724609);(243.473022;12191.412109);(455.664429;12226.085938);]","[2024-10-21 16:45:39.351;2024-10-21 16:45:39.852;2024-10-21 16:45:40.389;2024-10-21 16:45:40.893;2024-10-21 16:45:41.392;2024-10-21 16:45:41.912;2024-10-21 16:45:42.431;2024-10-21 16:45:42.968;2024-10-21 16:45:43.496;2024-10-21 16:45:44.96;]"
11,"ALE","T2_BasicEmergency","[14.89667;38.207758;82.250851;84.859937;72.776543;73.011753;89.628659;93.21413;86.084652;86.46391;]","[0.03743;0.04073;0.048927;0.061748;0.07406;0.085535;0.097515;0.111995;0.125112;0.137831;]","[(455.875031;12225.817383);(684.785217;12249.472656);(872.327332;12215.761719);(955.117188;12181.236328);(960.899231;12195.135742);(995.659302;12164.989258);(980.963684;12152.310547);(979.656128;12148.583984);(986.169678;12152.041992);(985.963806;12151.668945);]","[2024-10-21 16:45:44.525;2024-10-21 16:45:45.42;2024-10-21 16:45:45.563;2024-10-21 16:45:46.84;2024-10-21 16:45:46.661;2024-10-21 16:45:47.158;2024-10-21 16:45:47.693;2024-10-21 16:45:48.190;2024-10-21 16:45:48.691;2024-10-21 16:45:49.284;]"
12,"ALE","T2_BasicEmergency","[89.750921;89.595063;85.748458;93.000442;97.713342;99.290896;98.957486;252.180478;252.728164;257.554229;]","[0.151153;0.164631;0.178728;0.194395;0.209189;0.224388;0.239012;0.276121;0.313689;0.350899;]","[(982.390808;12150.582031);(988.586182;12143.651367);(997.883179;12138.15625);(979.143738;12149.439453);(969.176514;12153.469727);(974.347168;12146.258789);(976.444641;12144.402344);(956.490662;12034.209961);(956.254456;12036.571289);(954.211304;12046.102539);]","[2024-10-21 16:45:49.716;2024-10-21 16:45:50.220;2024-10-21 16:45:50.802;2024-10-21 16:45:51.299;2024-10-21 16:45:51.854;2024-10-21 16:45:52.353;2024-10-21 16:45:52.885;2024-10-21 16:45:53.381;2024-10-21 16:45:53.885;2024-10-21 16:45:54.456;]"
13,"ALE","T2_BasicEmergency","[277.64493;296.351827;299.016347;300.342509;298.895648;118.62268;118.655993;118.605369;115.774938;116.666958;]","[0.392236;0.434499;0.478381;0.524142;0.568626;0.605549;0.623087;0.640729;0.658295;0.67495;]","[(951.409607;12034.977539);(947.858704;12021.253906);(946.858582;12016.415039);(946.496094;12015.438477);(947.038513;12017.609375);(942.116211;11904.464844);(942.648926;11904.884766);(942.828918;11904.976562);(943.038391;11902.772461);(947.963318;11907.300781);]","[2024-10-21 16:45:54.937;2024-10-21 16:45:55.413;2024-10-21 16:45:55.912;2024-10-21 16:45:56.439;2024-10-21 16:45:56.941;2024-10-21 16:45:57.458;2024-10-21 16:45:57.953;2024-10-21 16:45:58.468;2024-10-21 16:45:58.960;2024-10-21 16:45:59.537;]"
14,"ALE","T2_BasicEmergency","[134.342194;136.724569;26.546512;10.985964;5.313819;3.447724;2.361747;1.945964;1.958349;1.961196;]","[0.693077;0.713527;0.730423;0.733642;0.734851;0.735483;0.735885;0.736189;0.736477;0.736769;]","[(947.288147;11920.764648);(961.437683;11937.244141);(1172.679565;11962.967773);(1362.432007;12030.787109);(1584.712158;12086.431641);(1760.608154;12117.918945);(1947.475464;12161.816406);(2060.112305;12166.167969);(2056.321289;12165.363281);(2055.47998;12164.957031);]","[2024-10-21 16:46:0.2;2024-10-21 16:46:0.498;2024-10-21 16:46:0.985;2024-10-21 16:46:1.512;2024-10-21 16:46:2.21;2024-10-21 16:46:2.548;2024-10-21 16:46:3.73;2024-10-21 16:46:3.575;2024-10-21 16:46:4.77;2024-10-21 16:46:4.693;]"
15,"ALE","T2_BasicEmergency","[1.964314;1.984983;2.002702;1.985323;2.304919;2.305747;2.351291;2.413559;2.401355;2.30664;]","[0.73705;0.73734;0.737629;0.737921;0.738249;0.738596;0.738946;0.739296;0.739649;0.740005;]","[(2054.697266;12163.28125);(2049.421387;12153.084961);(2044.109253;12152.479492);(2048.125244;12164.196289);(1965.294922;12119.844727);(1965.234253;12118.080078);(1955.249878;12105.393555);(1941.733398;12090.946289);(1944.70752;12087.344727);(1965.802979;12107.488281);]","[2024-10-21 16:46:5.73;2024-10-21 16:46:5.585;2024-10-21 16:46:6.92;2024-10-21 16:46:6.595;2024-10-21 16:46:7.112;2024-10-21 16:46:7.626;2024-10-21 16:46:8.167;2024-10-21 16:46:8.643;2024-10-21 16:46:9.154;2024-10-21 16:46:9.761;]"
16,"ALE","T2_BasicEmergency","[2.228392;1.460175;1.005724;0.749186;0.664186;0.665473;0.668215;0.664057;0.664406;0.664407;]","[0.740353;0.740655;0.740831;0.740956;0.741062;0.741157;0.741254;0.741352;0.741447;0.741547;]","[(1983.436401;12131.366211);(2249.668701;12161.283203);(2537.512695;12177.273438);(2806.95874;12179.304688);(2932.942139;12109.442383);(2931.085205;12105.107422);(2926.942383;12101.197266);(2933.330811;12104.414062);(2932.751709;12105.271484);(2932.758301;12105.03125);]","[2024-10-21 16:46:10.239;2024-10-21 16:46:10.729;2024-10-21 16:46:11.252;2024-10-21 16:46:11.736;2024-10-21 16:46:12.245;2024-10-21 16:46:12.747;2024-10-21 16:46:13.258;2024-10-21 16:46:13.765;2024-10-21 16:46:14.267;2024-10-21 16:46:14.894;]"
17,"ALE","T2_BasicEmergency","[0.66413;0.663263;0.662368;0.662296;0.663241;0.664293;0.664472;0.664478;0.664303;0.664073;]","[0.741647;0.741744;0.741841;0.741939;0.742038;0.742133;0.742232;0.74233;0.742433;0.742531;]","[(2933.165527;12105.820312);(2934.482422;12107.054688);(2935.950928;12105.442383);(2936.082275;12104.96582);(2934.679932;12102.530273);(2933.026367;12102.526367);(2932.74292;12102.612305);(2932.698975;12103.585938);(2932.992432;12103.023438);(2933.373047;12102.47168);]","[2024-10-21 16:46:15.320;2024-10-21 16:46:15.831;2024-10-21 16:46:16.341;2024-10-21 16:46:16.855;2024-10-21 16:46:17.349;2024-10-21 16:46:17.850;2024-10-21 16:46:18.383;2024-10-21 16:46:18.885;2024-10-21 16:46:19.414;2024-10-21 16:46:19.994;]"
18,"ALE","T2_BasicEmergency","[0.663743;0.663284;0.663465;0.663719;0.66412;0.663866;0.663222;0.662904;0.452056;0.331389;]","[0.742631;0.742729;0.742828;0.742926;0.743024;0.743125;0.743222;0.743324;0.743417;0.743484;]","[(2933.858154;12103.422852);(2934.563477;12103.916016);(2934.241943;12104.9375);(2933.80127;12106.056641);(2933.219727;12104.745117);(2933.629639;12104.454102);(2934.635986;12104.598633);(2935.103271;12105.552734);(3367.404053;12245.888672);(3785.22583;12334.916992);]","[2024-10-21 16:46:20.432;2024-10-21 16:46:20.937;2024-10-21 16:46:21.442;2024-10-21 16:46:21.964;2024-10-21 16:46:22.466;2024-10-21 16:46:23.21;2024-10-21 16:46:23.487;2024-10-21 16:46:24.12;2024-10-21 16:46:24.514;2024-10-21 16:46:25.124;]"
19,"ALE","T2_BasicEmergency","[0.294085;0.294215;0.294131;0.294316;0.294267;0.29405;0.294017;0.294133;0.294165;0.294084;]","[0.743532;0.743575;0.74362;0.743663;0.743706;0.743749;0.743792;0.743833;0.743876;0.743919;]","[(3973.114502;12273.678711);(3972.496094;12272.692383);(3972.78418;12274.726562);(3972.007568;12272.020508);(3972.231445;12272.509766);(3973.280273;12273.898438);(3973.386719;12274.8125);(3972.926514;12272.774414);(3972.741455;12272.954102);(3973.12207;12273.610352);]","[2024-10-21 16:46:25.542;2024-10-21 16:46:26.65;2024-10-21 16:46:26.578;2024-10-21 16:46:27.88;2024-10-21 16:46:27.597;2024-10-21 16:46:28.111;2024-10-21 16:46:28.613;2024-10-21 16:46:29.114;2024-10-21 16:46:29.614;2024-10-21 16:46:30.205;]"
