id,user_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"AA","S2_BasicEmergency","0","[0.000073;0.00466;0.004695;0.004736;0.004799;0.004824;0.004819;0.004774;0.004837;0.004848;]","[0.0;0.000001;0.000001;0.000002;0.000003;0.000003;0.000004;0.000005;0.000006;0.000006;]","[(0.0;0.0);(11818.308594;-17789.427734);(11809.538086;-17830.257812);(11814.766602;-17849.982422);(11834.586914;-17852.396484);(11840.852539;-17855.951172);(11839.886719;-17852.894531);(11827.719727;-17848.769531);(11847.005859;-17855.525391);(11846.024414;-17857.591797);]","[2024-10-22 14:5:20.727;2024-10-22 14:5:21.208;2024-10-22 14:5:21.779;2024-10-22 14:5:22.322;2024-10-22 14:5:22.873;2024-10-22 14:5:23.361;2024-10-22 14:5:23.889;2024-10-22 14:5:24.417;2024-10-22 14:5:24.922;2024-10-22 14:5:25.447;]"
1,"AA","S2_BasicEmergency","0","[0.00482;0.004806;0.004793;0.006984;0.006983;0.010646;0.01068;0.010655;0.013752;0.01382;]","[0.000007;0.000008;0.000008;0.000009;0.00001;0.000012;0.000013;0.000015;0.000017;0.000019;]","[(11838.1875;-17855.474609);(11835.150391;-17852.109375);(11832.367188;-17850.447266);(12252.829102;-18144.615234);(12250.787109;-18147.570312);(12603.329102;-18497.035156);(12608.220703;-18494.900391);(12602.066406;-18493.119141);(12824.359375;-18586.013672);(12827.84668;-18589.777344);]","[2024-10-22 14:5:25.973;2024-10-22 14:5:26.515;2024-10-22 14:5:27.11;2024-10-22 14:5:27.559;2024-10-22 14:5:28.84;2024-10-22 14:5:28.614;2024-10-22 14:5:29.141;2024-10-22 14:5:29.679;2024-10-22 14:5:30.184;2024-10-22 14:5:30.710;]"
2,"AA","S2_BasicEmergency","0","[0.013759;0.013786;0.013819;0.013871;0.013855;0.013812;0.013723;0.013806;0.013822;0.013839;]","[0.000021;0.000023;0.000025;0.000027;0.000029;0.000031;0.000033;0.000035;0.000037;0.000039;]","[(12824.398438;-18587.105469);(12826.275391;-18588.1875);(12828.862305;-18588.548828);(12831.751953;-18587.345703);(12831.206055;-18586.349609);(12828.075195;-18586.105469);(12823.998047;-18583.878906);(12826.797852;-18585.775391);(12829.239258;-18589.349609);(12829.017578;-18587.021484);]","[2024-10-22 14:5:31.237;2024-10-22 14:5:31.776;2024-10-22 14:5:32.336;2024-10-22 14:5:32.842;2024-10-22 14:5:33.394;2024-10-22 14:5:33.894;2024-10-22 14:5:34.426;2024-10-22 14:5:34.952;2024-10-22 14:5:35.455;2024-10-22 14:5:35.962;]"
3,"AA","S2_BasicEmergency","0","[0.013816;0.013833;0.013814;0.013819;0.013827;0.013909;0.013859;0.01388;0.013851;0.013863;]","[0.000041;0.000043;0.000045;0.000047;0.000049;0.000051;0.000053;0.000055;0.000057;0.000059;]","[(12829.836914;-18585.470703);(12829.78125;-18587.0625);(12829.004883;-18585.898438);(12828.957031;-18586.1875);(12828.967773;-18587.810547);(12835.824219;-18588.435547);(12832.082031;-18585.650391);(12832.349609;-18589.339844);(12830.374023;-18588.109375);(12830.701172;-18588.869141);]","[2024-10-22 14:5:36.491;2024-10-22 14:5:37.35;2024-10-22 14:5:37.580;2024-10-22 14:5:38.116;2024-10-22 14:5:38.655;2024-10-22 14:5:39.146;2024-10-22 14:5:39.679;2024-10-22 14:5:40.214;2024-10-22 14:5:40.762;2024-10-22 14:5:41.289;]"
4,"AA","S2_BasicEmergency","0","[0.013802;0.013865;0.013859;0.013844;0.013812;0.013933;0.013861;0.013914;0.013909;0.013932;]","[0.000061;0.000064;0.000065;0.000067;0.000069;0.000071;0.000073;0.000075;0.000077;0.000079;]","[(12828.24707;-18586.283203);(12831.939453;-18587.744141);(12830.369141;-18587.533203);(12830.202148;-18588.271484);(12826.620117;-18588.667969);(12833.527344;-18596.673828);(12827.24707;-18595.996094);(12832.365234;-18594.792969);(12832.473633;-18592.976562);(12833.254883;-18592.699219);]","[2024-10-22 14:5:41.819;2024-10-22 14:5:42.344;2024-10-22 14:5:42.870;2024-10-22 14:5:43.373;2024-10-22 14:5:43.895;2024-10-22 14:5:44.425;2024-10-22 14:5:44.934;2024-10-22 14:5:45.428;2024-10-22 14:5:45.957;2024-10-22 14:5:46.484;]"
5,"AA","S2_BasicEmergency","0","[0.01392;0.013924;0.013904;0.013911;0.013916;0.013925;0.013939;0.013913;0.01389;0.013904;]","[0.000082;0.000084;0.000086;0.000088;0.00009;0.000092;0.000094;0.000096;0.000098;0.0001;]","[(12833.673828;-18593.474609);(12833.248047;-18592.158203);(12832.722656;-18592.617188);(12832.885742;-18591.888672);(12833.886719;-18591.5);(12833.724609;-18591.720703);(12834.338867;-18592.671875);(12832.708008;-18591.855469);(12832.251953;-18590.330078);(12832.854492;-18591.322266);]","[2024-10-22 14:5:47.34;2024-10-22 14:5:47.566;2024-10-22 14:5:48.97;2024-10-22 14:5:48.597;2024-10-22 14:5:49.125;2024-10-22 14:5:49.651;2024-10-22 14:5:50.202;2024-10-22 14:5:50.701;2024-10-22 14:5:51.234;2024-10-22 14:5:51.759;]"
6,"AA","S2_BasicEmergency","0","[0.013909;0.013927;0.013907;0.0139;0.013906;0.013887;0.013892;0.013905;0.013908;0.013895;]","[0.000102;0.000104;0.000106;0.000108;0.00011;0.000112;0.000114;0.000116;0.000118;0.00012;]","[(12833.148438;-18591.351562);(12834.03125;-18592.0625);(12833.3125;-18590.291016);(12832.868164;-18590.189453);(12833.158203;-18590.814453);(12831.867188;-18590.326172);(12832.833984;-18589.59375);(12833.158203;-18590.359375);(12833.242188;-18590.75);(12832.192383;-18591.210938);]","[2024-10-22 14:5:52.288;2024-10-22 14:5:52.817;2024-10-22 14:5:53.323;2024-10-22 14:5:53.866;2024-10-22 14:5:54.346;2024-10-22 14:5:54.879;2024-10-22 14:5:55.386;2024-10-22 14:5:55.925;2024-10-22 14:5:56.437;2024-10-22 14:5:56.954;]"
7,"AA","S2_BasicEmergency","0","[0.014027;0.013467;0.013516;0.013461;0.01347;0.01347;0.013477;0.013698;0.014045;0.014021;]","[0.000122;0.000124;0.000126;0.000128;0.00013;0.000132;0.000134;0.000136;0.000138;0.00014;]","[(12834.055664;-18605.275391);(12810.079102;-18569.015625);(12818.863281;-18560.953125);(12815.107422;-18560.224609);(12815.682617;-18560.541016);(12815.958984;-18560.171875);(12816.342773;-18561.876953);(12824.504883;-18580.46875);(12839.911133;-18597.542969);(12839.332031;-18595.349609);]","[2024-10-22 14:5:57.465;2024-10-22 14:5:57.971;2024-10-22 14:5:58.499;2024-10-22 14:5:59.30;2024-10-22 14:5:59.511;2024-10-22 14:6:0.63;2024-10-22 14:6:0.585;2024-10-22 14:6:1.79;2024-10-22 14:6:1.613;2024-10-22 14:6:2.125;]"
8,"AA","S2_BasicEmergency","0","[0.014024;0.013629;0.013537;0.009544;0.009549;0.009594;0.009736;0.009844;0.00985;0.009848;]","[0.000142;0.000144;0.000146;0.000147;0.000149;0.00015;0.000151;0.000153;0.000154;0.000156;]","[(12837.876953;-18595.123047);(12819.52832;-18575.521484);(12818.80957;-18563.96875);(12485.814453;-18486.931641);(12485.913086;-18488.537109);(12489.848633;-18495.722656);(12500.662109;-18512.226562);(12508.800781;-18515.011719);(12509.15332;-18516.761719);(12509.235352;-18516.685547);]","[2024-10-22 14:6:2.624;2024-10-22 14:6:3.174;2024-10-22 14:6:3.698;2024-10-22 14:6:4.226;2024-10-22 14:6:4.746;2024-10-22 14:6:5.257;2024-10-22 14:6:5.786;2024-10-22 14:6:6.314;2024-10-22 14:6:6.813;2024-10-22 14:6:7.320;]"
9,"AA","S2_BasicEmergency","0","[0.009846;0.009846;0.009845;0.009846;0.009845;0.009798;0.009797;0.009797;0.00974;0.009653;]","[0.000157;0.000159;0.00016;0.000161;0.000163;0.000164;0.000166;0.000167;0.000169;0.00017;]","[(12509.069336;-18516.525391);(12509.054688;-18516.535156);(12509.007812;-18516.509766);(12509.043945;-18516.529297);(12509.036133;-18516.546875);(12505.286133;-18512.462891);(12505.113281;-18512.386719);(12504.49707;-18513.462891);(12499.242188;-18509.701172);(12492.493164;-18499.414062);]","[2024-10-22 14:6:7.847;2024-10-22 14:6:8.362;2024-10-22 14:6:8.865;2024-10-22 14:6:9.397;2024-10-22 14:6:9.928;2024-10-22 14:6:10.489;2024-10-22 14:6:11.11;2024-10-22 14:6:11.533;2024-10-22 14:6:12.17;2024-10-22 14:6:12.537;]"
