id,user_id,scenario_type,actor_id,actor_name
0,"AA","S1_BasicMechanics","2","TrafficCone_1"
1,"AA","S1_BasicMechanics","2","TrafficCone_2"
2,"AA","S1_BasicMechanics","2","TrafficCone_3"
3,"AA","S1_BasicMechanics","2","TrafficCone_4"
4,"AA","S1_BasicMechanics","2","TrafficCone_5"
5,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_1"
6,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_2"
7,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_3"
8,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_4"
9,"AA","S1_BasicMechanics","4","Dosimeter_EPD_1"
10,"AA","S1_BasicMechanics","4","Dosimeter_EPD_2"
11,"AA","S1_BasicMechanics","4","Dosimeter_EPD_3"
