user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
40,CarAccident,2023-05-04 10:27:18,2023-05-04 10:27:19,X=-10025.637 Y=125.331 Z=2.914,X=-10033.202 Y=123.380 Z=2.914,0.07813
40,CarAccident,2023-05-04 10:27:19,2023-05-04 10:27:22,X=-10033.810 Y=126.115 Z=2.914,X=-10024.010 Y=130.901 Z=2.914,0.109063
40,CarAccident,2023-05-04 10:27:23,2023-05-04 10:27:24,X=-10024.061 Y=131.732 Z=2.914,X=-10016.148 Y=137.333 Z=2.914,0.096942
40,CarAccident,2023-05-04 10:27:25,2023-05-04 10:27:25,X=-10008.741 Y=141.632 Z=2.914,X=-10007.762 Y=142.086 Z=2.914,0.010797
40,CarAccident,2023-05-04 10:27:32,2023-05-04 10:27:33,X=-9968.762 Y=111.382 Z=2.914,X=-10030.746 Y=-203.617 Z=2.914,3.210401
40,CarAccident,2023-05-04 10:27:43,2023-05-04 10:27:45,X=-10037.891 Y=-187.096 Z=3.322,X=-10175.087 Y=-19.083 Z=3.322,2.169132
40,CarAccident,2023-05-04 10:27:48,2023-05-04 10:27:48,X=-10159.794 Y=-34.984 Z=3.322,X=-10057.341 Y=-292.815 Z=3.322,2.774414
40,CarAccident,2023-05-04 10:27:49,2023-05-04 10:27:49,X=-10058.804 Y=-293.091 Z=3.322,X=-9931.437 Y=-544.298 Z=3.322,2.816514
40,CarAccident,2023-05-04 10:27:49,2023-05-04 10:27:49,X=-9932.702 Y=-543.171 Z=3.322,X=-9808.555 Y=-789.071 Z=3.322,2.754623
40,CarAccident,2023-05-04 10:27:50,2023-05-04 10:27:50,X=-9808.528 Y=-788.497 Z=3.322,X=-9669.916 Y=-1048.535 Z=3.322,2.946748
40,CarAccident,2023-05-04 10:27:50,2023-05-04 10:27:50,X=-9670.057 Y=-1049.460 Z=3.322,X=-9532.419 Y=-1315.082 Z=3.322,2.991644
40,CarAccident,2023-05-04 10:27:51,2023-05-04 10:27:51,X=-9531.981 Y=-1315.714 Z=3.322,X=-9386.772 Y=-1576.274 Z=3.322,2.982909
40,CarAccident,2023-05-04 10:27:52,2023-05-04 10:27:52,X=-9391.266 Y=-1577.600 Z=3.322,X=-9385.722 Y=-1848.233 Z=3.322,2.7069
40,CarAccident,2023-05-04 10:27:53,2023-05-04 10:27:53,X=-9388.176 Y=-1845.681 Z=5.726,X=-9476.953 Y=-2074.002 Z=5.726,2.449731
40,CarAccident,2023-05-04 10:28:13,2023-05-04 10:28:13,X=-9480.225 Y=-2075.074 Z=5.726,X=-9793.800 Y=-2153.886 Z=5.726,3.233274
40,CarAccident,2023-05-04 10:28:16,2023-05-04 10:28:16,X=-9702.010 Y=-2135.159 Z=5.726,X=-9701.563 Y=-1822.569 Z=5.726,3.125909
40,CarAccident,2023-05-04 10:28:17,2023-05-04 10:28:17,X=-9695.850 Y=-1825.266 Z=5.726,X=-9546.909 Y=-1572.874 Z=5.726,2.930614
