0,1,2,3,4,5,6,7,8,9,10
4,0,0,0,0,0,509,70,0,0,0
5,0,0,0,0,0,518,71,0,0,0
6,0,0,0,0,1,503,68,0,0,0
7,0,0,0,0,3,442,68,0,0,0
8,0,0,0,0,0,433,70,0,0,0
9,0,0,0,0,0,511,71,0,0,0
10,0,0,0,0,0,565,71,0,0,0
11,0,0,0,0,3,486,71,0,0,0
12,0,0,0,0,1,488,68,0,0,0
13,0,0,0,0,0,503,71,0,0,0
14,0,0,0,0,0,505,71,0,0,0
15,0,0,0,0,3,507,71,0,0,0
0,0,0,0,0,0,503,71,0,0,0
1,0,0,0,0,0,499,71,0,0,0
2,0,0,0,0,0,499,68,0,0,0
3,0,0,0,0,3,499,68,0,0,0
4,0,0,0,0,0,497,70,0,0,0
5,0,0,0,0,0,496,71,0,0,0
6,0,0,0,0,0,494,68,0,0,0
7,0,0,0,0,3,494,68,0,0,0
8,0,0,0,0,1,496,68,0,0,0
9,0,0,0,0,0,494,70,0,0,0
10,0,0,0,0,0,490,69,0,0,0
11,0,0,0,0,3,489,69,0,0,0
12,0,0,0,0,0,489,71,0,0,0
13,0,0,0,0,0,488,70,0,0,0
14,0,0,0,0,0,488,68,0,0,0
15,0,0,0,0,3,490,68,0,0,0
0,0,0,0,0,0,493,69,0,0,0
1,0,0,0,0,0,499,71,0,0,0
2,0,0,0,0,0,511,71,0,0,0
3,0,0,0,0,3,522,71,0,0,0
4,0,0,0,0,1,524,70,0,0,0
5,0,0,0,0,0,529,69,0,0,0
6,0,0,0,0,0,531,69,0,0,0
7,0,0,0,0,3,534,71,0,0,0
8,0,0,0,0,0,531,69,0,0,0
9,0,0,0,0,0,535,70,0,0,0
10,0,0,0,0,1,536,70,0,0,0
11,0,0,0,0,3,532,71,0,0,0
12,0,0,0,0,0,529,68,0,0,0
13,0,0,0,0,0,528,70,0,0,0
14,0,0,0,0,0,526,71,0,0,0
15,0,0,0,0,0,525,70,0,0,0
0,0,0,0,0,0,527,68,0,0,0
1,0,0,0,0,0,528,68,0,0,0
2,0,0,0,0,0,525,68,0,0,0
3,0,0,0,0,3,527,71,0,0,0
4,0,0,0,0,0,522,70,0,0,0
5,0,0,0,0,0,525,70,0,0,0
6,0,0,0,0,1,523,68,0,0,0
7,0,0,0,0,3,523,71,0,0,0
8,0,0,0,0,0,521,68,0,0,0
9,0,0,0,0,0,523,71,0,0,0
10,0,0,0,0,0,523,70,0,0,0
11,0,0,0,0,3,523,69,0,0,0
12,0,0,0,0,0,520,70,0,0,0
13,0,0,0,0,0,523,71,0,0,0
14,0,0,0,0,0,523,71,0,0,0
15,0,0,0,0,3,522,71,0,0,0
0,0,0,0,0,0,520,70,0,0,0
1,0,0,0,0,0,520,69,0,0,0
2,0,0,0,0,1,515,68,0,0,0
3,0,0,0,0,3,514,68,0,0,0
4,0,0,0,0,0,508,68,0,0,0
5,0,0,0,0,0,498,70,0,0,0
6,0,0,0,0,0,496,69,0,0,0
7,0,0,0,0,3,500,70,0,0,0
8,0,0,0,0,1,502,70,0,0,0
9,0,0,0,0,0,513,70,0,0,0
10,0,0,0,0,0,521,68,0,0,0
11,0,0,0,0,3,526,69,0,0,0
12,0,0,0,0,0,524,70,0,0,0
13,0,0,0,0,0,523,70,0,0,0
14,0,0,0,0,0,520,70,0,0,0
15,0,0,0,0,3,517,68,0,0,0
0,0,0,0,0,0,515,68,0,0,0
1,0,0,0,0,0,510,68,0,0,0
2,0,0,0,0,0,456,68,0,0,0
3,0,0,0,0,3,428,68,0,0,0
4,0,0,0,0,0,486,70,0,0,0
5,0,0,0,0,0,575,70,0,0,0
6,0,0,0,0,0,502,71,0,0,0
7,0,0,0,0,3,493,70,0,0,0
8,0,0,0,0,0,508,68,0,0,0
9,0,0,0,0,0,509,69,0,0,0
10,0,0,0,0,0,509,70,0,0,0
11,0,0,0,0,0,511,70,0,0,0
12,0,0,0,0,0,507,70,0,0,0
13,0,0,0,0,0,510,70,0,0,0
14,0,0,0,0,0,508,71,0,0,0
15,0,0,0,0,3,509,71,0,0,0
0,0,0,0,0,1,509,69,0,0,0
1,0,0,0,0,0,509,68,0,0,0
2,0,0,0,0,0,507,70,0,0,0
3,0,0,0,0,3,504,70,0,0,0
4,0,0,0,0,0,502,68,0,0,0
5,0,0,0,0,0,499,68,0,0,0
6,0,0,0,0,1,491,70,0,0,0
7,0,0,0,0,3,492,70,0,0,0
8,0,0,0,0,0,492,69,0,0,0
9,0,0,0,0,0,490,69,0,0,0
10,0,0,0,0,0,487,70,0,0,0
11,0,0,0,0,3,495,70,0,0,0
12,0,0,0,0,0,497,69,0,0,0
13,0,0,0,0,0,505,69,0,0,0
14,0,0,0,0,0,511,68,0,0,0
15,0,0,0,0,3,519,70,0,0,0
0,0,0,0,0,0,524,71,0,0,0
1,0,0,0,0,0,525,68,0,0,0
2,0,0,0,0,1,523,70,0,0,0
3,0,0,0,0,3,526,69,0,0,0
4,0,0,0,0,0,526,70,0,0,0
5,0,0,0,0,0,521,69,0,0,0
6,0,0,0,0,0,513,70,0,0,0
7,0,0,0,0,3,513,69,0,0,0
8,0,0,0,0,0,512,68,0,0,0
9,0,0,0,0,0,514,68,0,0,0
10,0,0,0,0,0,509,70,0,0,0
11,0,0,0,0,3,511,68,0,0,0
12,0,0,0,0,0,506,70,0,0,0
13,0,0,0,0,0,508,70,0,0,0
14,0,0,0,0,0,505,70,0,0,0
15,0,0,0,0,3,504,69,0,0,0
0,0,0,0,0,0,503,68,0,0,0
1,0,0,0,0,0,506,69,0,0,0
2,0,0,0,0,0,504,68,0,0,0
3,0,0,0,0,3,506,68,0,0,0
4,0,0,0,0,1,507,70,0,0,0
5,0,0,0,0,0,508,68,0,0,0
6,0,0,0,0,0,507,70,0,0,0
7,0,0,0,0,1,508,70,0,0,0
8,0,0,0,0,0,507,69,0,0,0
9,0,0,0,0,0,511,70,0,0,0
10,0,0,0,0,0,511,70,0,0,0
11,0,0,0,0,3,512,69,0,0,0
12,0,0,0,0,0,509,69,0,0,0
13,0,0,0,0,0,513,70,0,0,0
14,0,0,0,0,0,516,70,0,0,0
15,0,0,0,0,3,518,67,0,0,0
0,0,0,0,0,0,518,68,0,0,0
1,0,0,0,0,0,517,70,0,0,0
2,0,0,0,0,0,510,70,0,0,0
3,0,0,0,0,3,507,68,0,0,0
4,0,0,0,0,0,506,70,0,0,0
5,0,0,0,0,0,505,70,0,0,0
6,0,0,0,0,0,501,68,0,0,0
7,0,0,0,0,3,505,69,0,0,0
8,0,0,0,0,0,508,70,0,0,0
9,0,0,0,0,0,523,70,0,0,0
10,0,0,0,0,0,532,67,0,0,0
11,0,0,0,0,3,537,69,0,0,0
