15,0,0,0,0,3,504,57,0,0,0
0,0,0,0,0,0,502,59,0,0,0
1,0,0,0,0,0,498,59,0,0,0
2,0,0,0,0,0,495,59,0,0,0
3,0,0,0,0,3,491,57,0,0,0
4,0,0,0,0,0,491,56,0,0,0
5,0,0,0,0,0,486,58,0,0,0
6,0,0,0,0,0,482,59,0,0,0
7,0,0,0,0,3,483,59,0,0,0
8,0,0,0,0,0,494,59,0,0,0
9,0,0,0,0,0,504,56,0,0,0
10,0,0,0,0,0,514,59,0,0,0
11,0,0,0,0,3,515,59,0,0,0
12,0,0,0,0,0,517,56,0,0,0
13,0,0,0,0,0,513,56,0,0,0
14,0,0,0,0,0,509,57,0,0,0
15,0,0,0,0,3,504,59,0,0,0
0,0,0,0,0,0,504,59,0,0,0
1,0,0,0,0,0,499,59,0,0,0
2,0,0,0,0,0,500,58,0,0,0
3,0,0,0,0,3,497,56,0,0,0
4,0,0,0,0,0,499,59,0,0,0
5,0,0,0,0,0,497,59,0,0,0
6,0,0,0,0,0,498,59,0,0,0
7,0,0,0,0,0,497,57,0,0,0
8,0,0,0,0,0,502,56,0,0,0
9,0,0,0,0,0,504,57,0,0,0
10,0,0,0,0,0,508,59,0,0,0
11,0,0,0,0,3,507,59,0,0,0
12,0,0,0,0,0,512,57,0,0,0
13,0,0,0,0,0,511,56,0,0,0
14,0,0,0,0,0,515,57,0,0,0
15,0,0,0,0,3,515,58,0,0,0
0,0,0,0,0,0,515,59,0,0,0
1,0,0,0,0,0,516,59,0,0,0
2,0,0,0,0,0,515,57,0,0,0
3,0,0,0,0,3,514,58,0,0,0
4,0,0,0,0,0,515,59,0,0,0
5,0,0,0,0,0,510,59,0,0,0
6,0,0,0,0,0,507,57,0,0,0
7,0,0,0,0,3,499,57,0,0,0
8,0,0,0,0,0,494,56,0,0,0
9,0,0,0,0,0,496,56,0,0,0
10,0,0,0,0,0,499,59,0,0,0
11,0,0,0,0,3,500,59,0,0,0
12,0,0,0,0,0,515,56,0,0,0
13,0,0,0,0,0,517,59,0,0,0
14,0,0,0,0,0,514,59,0,0,0
15,0,0,0,0,3,512,57,0,0,0
0,0,0,0,0,0,514,56,0,0,0
1,0,0,0,0,0,511,57,0,0,0
2,0,0,0,0,0,511,59,0,0,0
3,0,0,0,0,3,513,56,0,0,0
4,0,0,0,0,0,513,58,0,0,0
5,0,0,0,0,0,473,59,0,0,0
6,0,0,0,0,0,444,57,0,0,0
7,0,0,0,0,3,497,56,0,0,0
8,0,0,0,0,0,590,56,0,0,0
9,0,0,0,0,0,526,57,0,0,0
10,0,0,0,0,0,502,57,0,0,0
11,0,0,0,0,3,511,56,0,0,0
12,0,0,0,0,0,518,56,0,0,0
13,0,0,0,0,0,516,57,0,0,0
14,0,0,0,0,0,516,59,0,0,0
15,0,0,0,0,3,512,58,0,0,0
0,0,0,0,0,0,515,56,0,0,0
1,0,0,0,0,0,513,58,0,0,0
2,0,0,0,0,0,516,58,0,0,0
3,0,0,0,0,0,512,59,0,0,0
4,0,0,0,0,0,512,58,0,0,0
5,0,0,0,0,0,505,56,0,0,0
6,0,0,0,0,0,506,58,0,0,0
7,0,0,0,0,3,501,56,0,0,0
8,0,0,0,0,0,502,58,0,0,0
9,0,0,0,0,0,498,59,0,0,0
10,0,0,0,0,0,503,56,0,0,0
11,0,0,0,0,3,500,58,0,0,0
12,0,0,0,0,0,499,59,0,0,0
13,0,0,0,0,0,497,58,0,0,0
14,0,0,0,0,0,500,56,0,0,0
15,0,0,0,0,3,501,59,0,0,0
0,0,0,0,0,0,513,56,0,0,0
1,0,0,0,0,0,523,58,0,0,0
2,0,0,0,0,0,535,58,0,0,0
3,0,0,0,0,3,537,56,0,0,0
4,0,0,0,0,0,539,59,0,0,0
5,0,0,0,0,0,531,57,0,0,0
6,0,0,0,0,0,528,59,0,0,0
7,0,0,0,0,3,525,56,0,0,0
8,0,0,0,0,0,524,59,0,0,0
9,0,0,0,0,0,519,56,0,0,0
10,0,0,0,0,0,522,58,0,0,0
11,0,0,0,0,3,520,59,0,0,0
12,0,0,0,0,0,520,56,0,0,0
13,0,0,0,0,0,519,58,0,0,0
14,0,0,0,0,0,520,58,0,0,0
15,0,0,0,0,3,515,57,0,0,0
0,0,0,0,0,0,517,57,0,0,0
1,0,0,0,0,0,513,58,0,0,0
2,0,0,0,0,0,517,56,0,0,0
3,0,0,0,0,3,514,58,0,0,0
4,0,0,0,0,0,513,58,0,0,0
5,0,0,0,0,0,511,56,0,0,0
6,0,0,0,0,0,512,57,0,0,0
7,0,0,0,0,3,509,59,0,0,0
8,0,0,0,0,0,508,56,0,0,0
9,0,0,0,0,0,504,58,0,0,0
10,0,0,0,0,0,505,56,0,0,0
11,0,0,0,0,3,501,58,0,0,0
12,0,0,0,0,0,501,56,0,0,0
13,0,0,0,0,0,498,58,0,0,0
14,0,0,0,0,0,495,57,0,0,0
15,0,0,0,0,1,486,57,0,0,0
0,0,0,0,0,0,494,58,0,0,0
1,0,0,0,0,0,492,56,0,0,0
2,0,0,0,0,0,503,58,0,0,0
3,0,0,0,0,3,509,58,0,0,0
4,0,0,0,0,0,515,56,0,0,0
5,0,0,0,0,0,510,58,0,0,0
6,0,0,0,0,0,515,59,0,0,0
7,0,0,0,0,3,514,56,0,0,0
8,0,0,0,0,0,515,56,0,0,0
9,0,0,0,0,0,517,58,0,0,0
10,0,0,0,0,0,522,56,0,0,0
11,0,0,0,0,3,502,58,0,0,0
12,0,0,0,0,0,442,58,0,0,0
13,0,0,0,0,0,455,57,0,0,0
14,0,0,0,0,0,542,56,0,0,0
15,0,0,0,0,3,558,58,0,0,0
0,0,0,0,0,0,504,58,0,0,0
1,0,0,0,0,0,512,56,0,0,0
2,0,0,0,0,0,519,58,0,0,0
3,0,0,0,0,3,514,58,0,0,0
4,0,0,0,0,0,512,58,0,0,0
5,0,0,0,0,0,507,58,0,0,0
6,0,0,0,0,0,507,57,0,0,0
7,0,0,0,0,3,507,59,0,0,0
8,0,0,0,0,0,510,57,0,0,0
9,0,0,0,0,0,507,58,0,0,0
10,0,0,0,0,0,506,56,0,0,0
11,0,0,0,0,3,503,58,0,0,0
12,0,0,0,0,0,503,58,0,0,0
13,0,0,0,0,0,497,56,0,0,0
14,0,0,0,0,0,493,56,0,0,0
15,0,0,0,0,3,493,56,0,0,0
0,0,0,0,0,0,494,57,0,0,0
1,0,0,0,0,0,491,58,0,0,0
2,0,0,0,0,0,493,56,0,0,0
3,0,0,0,0,3,490,59,0,0,0
4,0,0,0,0,0,493,56,0,0,0
5,0,0,0,0,0,497,58,0,0,0
6,0,0,0,0,0,506,59,0,0,0
7,0,0,0,0,3,509,57,0,0,0
8,0,0,0,0,0,518,58,0,0,0
9,0,0,0,0,0,520,57,0,0,0
10,0,0,0,0,0,526,56,0,0,0
11,0,0,0,0,0,524,56,0,0,0
12,0,0,0,0,0,530,56,0,0,0
13,0,0,0,0,0,526,56,0,0,0
14,0,0,0,0,0,525,57,0,0,0
15,0,0,0,0,3,524,58,0,0,0
0,0,0,0,0,0,523,57,0,0,0
1,0,0,0,0,0,520,57,0,0,0
2,0,0,0,0,0,523,59,0,0,0
3,0,0,0,0,3,516,56,0,0,0
4,0,0,0,0,0,520,58,0,0,0
5,0,0,0,0,0,516,57,0,0,0
6,0,0,0,0,0,519,57,0,0,0
7,0,0,0,0,3,517,59,0,0,0
8,0,0,0,0,0,516,56,0,0,0
9,0,0,0,0,0,512,58,0,0,0
10,0,0,0,0,0,513,58,0,0,0
11,0,0,0,0,3,513,56,0,0,0
12,0,0,0,0,0,519,56,0,0,0
13,0,0,0,0,0,518,57,0,0,0
14,0,0,0,0,0,521,58,0,0,0
15,0,0,0,0,3,517,58,0,0,0
0,0,0,0,0,0,517,56,0,0,0
1,0,0,0,0,0,509,56,0,0,0
2,0,0,0,0,0,511,57,0,0,0
3,0,0,0,0,3,507,58,0,0,0
4,0,0,0,0,0,499,56,0,0,0
5,0,0,0,0,0,500,57,0,0,0
6,0,0,0,0,0,502,58,0,0,0
7,0,0,0,0,3,506,56,0,0,0
8,0,0,0,0,0,519,59,0,0,0
9,0,0,0,0,0,525,57,0,0,0
10,0,0,0,0,0,528,56,0,0,0
11,0,0,0,0,3,527,59,0,0,0
12,0,0,0,0,0,526,57,0,0,0
13,0,0,0,0,0,522,56,0,0,0
14,0,0,0,0,0,523,59,0,0,0
15,0,0,0,0,3,524,56,0,0,0
0,0,0,0,0,0,518,58,0,0,0
1,0,0,0,0,0,461,56,0,0,0
2,0,0,0,0,0,447,58,0,0,0
3,0,0,0,0,3,513,56,0,0,0
4,0,0,0,0,0,585,58,0,0,0
5,0,0,0,0,0,512,58,0,0,0
6,0,0,0,0,0,515,57,0,0,0
7,0,0,0,0,0,521,59,0,0,0
8,0,0,0,0,0,519,57,0,0,0
9,0,0,0,0,0,510,56,0,0,0
10,0,0,0,0,0,512,59,0,0,0
11,0,0,0,0,3,514,56,0,0,0
12,0,0,0,0,1,513,58,0,0,0
13,0,0,0,0,0,510,56,0,0,0
14,0,0,0,0,0,512,59,0,0,0
15,0,0,0,0,3,505,56,0,0,0
0,0,0,0,0,0,503,58,0,0,0
1,0,0,0,0,0,500,57,0,0,0
2,0,0,0,0,0,497,59,0,0,0
3,0,0,0,0,3,492,56,0,0,0
4,0,0,0,0,0,491,58,0,0,0
5,0,0,0,0,0,482,56,0,0,0
6,0,0,0,0,0,482,56,0,0,0
7,0,0,0,0,3,476,58,0,0,0
8,0,0,0,0,0,476,58,0,0,0
9,0,0,0,0,0,474,56,0,0,0
10,0,0,0,0,0,480,58,0,0,0
11,0,0,0,0,3,485,58,0,0,0
12,0,0,0,0,0,495,58,0,0,0
13,0,0,0,0,0,503,58,0,0,0
14,0,0,0,0,0,513,59,0,0,0
15,0,0,0,0,3,514,58,0,0,0
0,0,0,0,0,0,515,59,0,0,0
1,0,0,0,0,0,510,56,0,0,0
2,0,0,0,0,0,507,59,0,0,0
3,0,0,0,0,3,500,58,0,0,0
4,0,0,0,0,0,501,58,0,0,0
5,0,0,0,0,0,496,58,0,0,0
6,0,0,0,0,0,501,57,0,0,0
7,0,0,0,0,3,498,58,0,0,0
8,0,0,0,0,0,499,59,0,0,0
9,0,0,0,0,0,496,56,0,0,0
10,0,0,0,0,0,498,58,0,0,0
11,0,0,0,0,3,496,56,0,0,0
12,0,0,0,0,0,499,59,0,0,0
13,0,0,0,0,0,497,56,0,0,0
14,0,0,0,0,0,500,58,0,0,0
15,0,0,0,0,3,500,56,0,0,0
0,0,0,0,0,0,504,59,0,0,0
1,0,0,0,0,0,500,57,0,0,0
2,0,0,0,0,0,502,56,0,0,0
3,0,0,0,0,0,498,58,0,0,0
4,0,0,0,0,0,503,56,0,0,0
5,0,0,0,0,0,504,57,0,0,0
6,0,0,0,0,0,500,57,0,0,0
7,0,0,0,0,3,499,57,0,0,0
8,0,0,0,0,0,501,58,0,0,0
9,0,0,0,0,0,496,57,0,0,0
10,0,0,0,0,0,497,57,0,0,0
11,0,0,0,0,3,496,56,0,0,0
12,0,0,0,0,0,489,59,0,0,0
13,0,0,0,0,0,492,56,0,0,0
14,0,0,0,0,0,498,58,0,0,0
15,0,0,0,0,3,503,58,0,0,0
0,0,0,0,0,0,517,59,0,0,0
1,0,0,0,0,0,519,56,0,0,0
2,0,0,0,0,0,523,56,0,0,0
3,0,0,0,0,3,523,57,0,0,0
4,0,0,0,0,0,527,58,0,0,0
5,0,0,0,0,0,527,57,0,0,0
6,0,0,0,0,0,527,56,0,0,0
7,0,0,0,0,0,526,58,0,0,0
8,0,0,0,0,0,519,58,0,0,0
9,0,0,0,0,0,464,58,0,0,0
10,0,0,0,0,0,431,56,0,0,0
11,0,0,0,0,3,483,57,0,0,0
12,0,0,0,0,0,568,59,0,0,0
13,0,0,0,0,0,493,56,0,0,0
14,0,0,0,0,0,494,59,0,0,0
15,0,0,0,0,3,507,57,0,0,0
0,0,0,0,0,0,510,57,0,0,0
1,0,0,0,0,0,506,58,0,0,0
2,0,0,0,0,0,508,56,0,0,0
3,0,0,0,0,3,503,58,0,0,0
4,0,0,0,0,0,504,57,0,0,0
5,0,0,0,0,0,499,59,0,0,0
6,0,0,0,0,0,496,58,0,0,0
7,0,0,0,0,3,495,58,0,0,0
8,0,0,0,0,0,497,57,0,0,0
9,0,0,0,0,0,497,59,0,0,0
10,0,0,0,0,0,498,57,0,0,0
11,0,0,0,0,3,497,58,0,0,0
12,0,0,0,0,0,497,56,0,0,0
13,0,0,0,0,0,492,58,0,0,0
14,0,0,0,0,0,492,56,0,0,0
15,0,0,0,0,3,489,59,0,0,0
0,0,0,0,0,0,496,56,0,0,0
1,0,0,0,0,0,492,59,0,0,0
2,0,0,0,0,0,491,56,0,0,0
3,0,0,0,0,3,492,59,0,0,0
4,0,0,0,0,0,502,56,0,0,0
5,0,0,0,0,0,508,59,0,0,0
6,0,0,0,0,0,521,57,0,0,0
7,0,0,0,0,3,526,59,0,0,0
