# OpenSignals Text File Format. Version 1
# {"A4:34:F1:21:5F:73": {"sensor": ["RAW", "ECGBIT", "EDABITREV", "RAW", "RAW", "RAW"], "device name": "A4:34:F1:21:5F:73", "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "sync interval": 2, "time": "17:26:45.870", "comments": "", "device connection": "BLEA4:34:F1:21:5F:73", "channels": [1, 2, 3, 4, 5, 6], "keywords": "", "convertedValues": 0, "mode": 0, "digital IO": [0, 0, 1, 1], "firmware version": 1281, "device": "bitalino_rev", "position": 0, "sampling rate": 100, "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "date": "2019-11-5", "special": [{}, {}, {}, {}, {}, {}]}}
# EndOfHeader
0	0	0	0	0	3	513	612	3	0	0	
1	0	0	0	0	0	508	619	3	0	0	
2	0	0	0	0	0	515	612	3	0	0	
3	0	0	0	0	0	507	619	3	0	0	
4	0	0	0	0	3	517	613	3	0	0	
5	0	0	0	0	0	509	620	3	0	0	
6	0	0	0	0	0	519	614	3	0	0	
7	0	0	0	0	0	511	621	3	0	0	
8	0	0	0	0	3	518	615	3	0	0	
9	0	0	0	0	0	512	622	3	0	0	
10	0	0	0	0	0	518	615	3	0	0	
11	0	0	0	0	0	515	623	3	0	0	
12	0	0	0	0	3	536	617	3	0	0	
13	0	0	0	0	0	534	624	3	0	0	
14	0	0	0	0	0	542	617	3	0	0	
15	0	0	0	0	0	537	625	3	0	0	
0	0	0	0	0	3	545	618	3	0	0	
1	0	0	0	0	0	529	624	3	0	0	
2	0	0	0	0	0	534	618	3	0	0	
3	0	0	0	0	0	505	624	3	0	0	
4	0	0	0	0	3	504	619	3	0	0	
5	0	0	0	0	0	495	625	3	0	0	
6	0	0	0	0	0	504	618	3	0	0	
7	0	0	0	0	0	497	624	3	0	0	
8	0	0	0	0	3	475	618	3	0	0	
9	0	0	0	0	0	531	624	3	0	0	
10	0	0	0	0	0	802	616	3	0	0	
11	0	0	0	0	0	1022	623	3	0	0	
12	0	0	0	0	3	844	615	3	0	0	
13	0	0	0	0	0	360	621	3	0	0	
