id,user_id,experiment_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,AB,1,T1_BasicMechanics,1,0,start_talk_with_npc,2024-10-25 13:45:49.546
1,AB,1,T1_BasicMechanics,1,0,stop_talk_with_npc,2024-10-25 13:46:13.579
