id,user_id,scenario_type,actor_id,actor_name
0,"AB","T1_BasicMechanics","9","Clamps_2"
1,"AB","T1_BasicMechanics","9","Clamps_1"
2,"AB","T1_BasicMechanics","3","Dosimeter_SABG100_3"
3,"AB","T1_BasicMechanics","3","Dosimeter_SABG100_2"
4,"AB","T1_BasicMechanics","3","Dosimeter_SABG100_1"
5,"AB","T1_BasicMechanics","7","PoliceTape_2"
6,"AB","T1_BasicMechanics","7","PoliceTape_1"
7,"AB","T1_BasicMechanics","2","TrafficCone_3"
8,"AB","T1_BasicMechanics","2","TrafficCone_1"
9,"AB","T1_BasicMechanics","2","TrafficCone_4"
10,"AB","T1_BasicMechanics","2","TrafficCone_2"
11,"AB","T1_BasicMechanics","2","TrafficCone_5"
12,"AB","T1_BasicMechanics","4","Dosimeter_EPD_2"
13,"AB","T1_BasicMechanics","4","Dosimeter_EPD_1"
