,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
74,74,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:37.250,,
75,75,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:37.412,,
76,76,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:48.792,,
77,77,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:48.941,,
78,78,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:54.445,,
79,79,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:56.598,,
80,80,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:58.553,,
81,81,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:58.636,,
82,82,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:59.272,,
83,83,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:59.380,,
84,84,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:01.307,,
85,85,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:01.363,,
86,86,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:02.317,,
87,87,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:03.267,,
88,88,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:06.240,,
89,89,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:08.112,,
90,90,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:09.473,,
91,91,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:10.160,,
92,92,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:11.760,,
93,93,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:13.505,,
94,94,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:14.415,,
95,95,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:16.230,,
96,96,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:16.635,,
97,97,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:17.498,,
98,98,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:50:26.213,,
99,99,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:50:26.485,,
100,100,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:50:27.000,,
101,101,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:50:27.109,,
102,102,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:50:36.564,,
103,103,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:50:36.657,,
104,104,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:38.385,,
105,105,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:38.802,,
106,106,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:39.651,,
107,107,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:39.841,,
108,108,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:40.856,,
109,109,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:41.857,,
110,110,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:42.417,,
111,111,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:44.152,,
112,112,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:45.360,,
113,113,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:45.731,,
114,114,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:46.652,,
115,115,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:47.335,,
116,116,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:47.914,,
117,117,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:49.122,,
118,118,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:50.308,,
119,119,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:51.178,,
120,120,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:51.731,,
121,121,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:53.072,,
122,122,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:54.930,,
123,123,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:55.556,,
124,124,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:55.700,,
125,125,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:55.957,,
126,126,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:57.214,,
127,127,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:57.669,,
128,128,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:51:04.473,,
129,129,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:51:04.608,,
130,130,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:51:06.341,,
131,131,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:51:06.435,,
132,132,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:51:06.755,,
133,133,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:51:06.874,,
134,134,AA,1,T1,IA_Move,started,Right,2024-10-22 13:51:07.594,,
135,135,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:51:07.805,,
136,136,AA,1,T1,IA_Move,started,Right,2024-10-22 13:51:14.063,,
137,137,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:51:14.614,,
138,138,AA,1,T1,IA_Move,started,Right,2024-10-22 13:51:27.715,,
139,139,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:51:28.206,,
140,140,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:51:29.264,,
141,141,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:51:29.344,,
142,142,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:51:32.096,,
143,143,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:51:32.203,,
144,144,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:51:39.957,,
145,145,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:51:40.105,,
146,146,AA,1,T1,IA_Move,started,Right,2024-10-22 13:51:54.873,,
147,147,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:51:57.945,,
148,148,AA,1,T1,IA_Move,started,Right,2024-10-22 13:51:58.355,,
149,149,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:51:58.892,,
150,0,AA,1,S1,IA_Move,started,Right,2024-10-22 13:52:50.005,,
151,1,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:52:50.575,,
152,2,AA,1,S1,IA_Move,started,Right,2024-10-22 13:52:51.232,,
153,3,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:52:51.682,,
154,4,AA,1,S1,IA_Move,started,Right,2024-10-22 13:52:53.538,,
155,5,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:52:55.704,,
156,6,AA,1,S1,IA_Menu_Interact,started,Right,2024-10-22 13:52:56.751,,
157,7,AA,1,S1,IA_Menu_Interact,completed,Right,2024-10-22 13:52:56.881,,
158,8,AA,1,S1,IA_Menu_Interact,started,Right,2024-10-22 13:52:57.214,,
159,9,AA,1,S1,IA_Menu_Interact,completed,Right,2024-10-22 13:52:57.371,,
160,10,AA,1,S1,IA_Menu_Toggle,started,Right,2024-10-22 13:53:24.210,,
161,11,AA,1,S1,IA_Menu_Toggle,completed,Right,2024-10-22 13:53:24.520,,
162,12,AA,1,S1,IA_Menu_Interact,started,Right,2024-10-22 13:53:26.039,,
163,13,AA,1,S1,IA_Menu_Interact,completed,Right,2024-10-22 13:53:26.180,,
164,14,AA,1,S1,IA_Menu_Interact,started,Right,2024-10-22 13:53:26.593,,
165,15,AA,1,S1,IA_Menu_Interact,completed,Right,2024-10-22 13:53:26.729,,
