,ID,EXP_ID,GROUP,HMD,SCENARIO,TD,GP_N,GP_T,EXP_ID,OI_N,OI_N_R,OI_N_L,OI_N_t_1,OI_N_t_1_R,OI_N_t_1_L,OI_N_t_2,OI_N_t_2_R,OI_N_t_2_L,OI_N_t_3,OI_N_t_3_R,OI_N_t_3_L,OI_N_t_4,OI_N_t_4_R,OI_N_t_4_L,OI_N_a_2,OI_N_a_3,OI_N_a_4,OI_N_a_5,OI_N_a_7,OI_N_a_9,OI_T,OI_T_R,OI_T_L,OI_T_SS,OI_T_SS_R,OI_T_SS_L,OI_T_GR,OI_T_GR_R,OI_T_GR_L,OI_T_SS_a_2,OI_T_SS_a_3,OI_T_SS_a_4,OI_T_SS_a_5,OI_T_SS_a_7,OI_T_SS_a_9,OI_T_GR_a_2,OI_T_GR_a_3,OI_T_GR_a_4,OI_T_GR_a_5,OI_T_GR_a_7,OI_T_GR_a_9,APP,UX_A,UX_P,UX_E,UX_D,UX_S,UX_N,SUS,CL_W_MD,CL_W_PD,CL_W_TD,CL_W_E,CL_W_P,CL_W_F,CL_MD,CL_PD,CL_TD,CL_E,CL_P,CL_F,CL_SCORE
0,AA,1,TSV,QUEST,ALL,1433.02,24.0,52.486875,1,149.0,55.0,94.0,49.0,18.0,31.0,49.0,18.0,31.0,26.0,10.0,16.0,25.0,9.0,16.0,42.0,36.0,24.0,33.0,6.0,6.0,8.734,18.014,13.9,0.29,0.2462777777777778,0.332741935483871,19.885,15.223333333333333,24.547625,0.213,0.278,0.28,0.363,0.528,0.451,5.343,16.415,60.143,47.91,1.872,1.716,0.0,0.0,0.0,0.25,-0.75,0.25,1.5,90.0,0.133,0.2,0.067,0.2,0.067,0.333,0.4,1.4,0.133,0.8,0.6,0.333,4.666
5,AB,1,CTRL,QUEST,ALL,1236.99,24.0,43.423375,1,146.0,112.0,34.0,43.0,32.0,11.0,43.0,32.0,11.0,30.0,24.0,6.0,30.0,24.0,6.0,42.0,36.0,30.0,14.0,0.0,24.0,7.745,10.082,34.031,0.367,0.22934375,0.505,33.431,12.918833333333334,53.943,0.454,0.237,0.266,0.279,NULL,0.237,3.752,8.432,157.554,54.786,NULL,0.961,0.0,-0.333,0.0,0.25,-0.25,-1.0,-0.25,92.5,0.333,0.067,0.133,0.2,0.267,0.0,0.333,0.067,0.133,0.4,2.133,0.0,4.066
