id,user_id,scenario_type,actor_id,actor_name,place_point_name,activation_count,start_datetime,end_datetime
0,"ALE","S1_BasicMechanics","2","TrafficCone_5","BP_PlacePoint","4","2024-10-21 16:43:10.27","2024-10-21 16:43:10.27"
1,"ALE","S1_BasicMechanics","2","TrafficCone_1","BP_PlacePoint3","6","2024-10-21 16:43:24.330","2024-10-21 16:43:28.346"
2,"ALE","S1_BasicMechanics","2","TrafficCone_8","BP_PlacePoint2","7","2024-10-21 16:43:29.821","2024-10-21 16:43:29.821"
3,"ALE","S1_BasicMechanics","2","TrafficCone_6","BP_PlacePoint4","9","2024-10-21 16:43:38.765","2024-10-21 16:43:38.765"
4,"ALE","S1_BasicMechanics","2","TrafficCone_4","BP_PlacePoint5","11","2024-10-21 16:43:52.374","2024-10-21 16:43:52.374"
5,"ALE","S1_BasicMechanics","3","Dosimeter_SABG100_2","BP_PlacePoint6","4","2024-10-21 16:43:55.24","2024-10-21 16:43:55.24"
6,"ALE","S1_BasicMechanics","3","Dosimeter_SABG100_3","BP_PlacePoint8","6","2024-10-21 16:44:3.726","2024-10-21 16:44:3.727"
7,"ALE","S1_BasicMechanics","4","Dosimeter_EPD_2","BP_PlacePoint10","4","2024-10-21 16:44:6.294","2024-10-21 16:44:6.295"
8,"ALE","S1_BasicMechanics","4","Dosimeter_EPD_1","BP_PlacePoint9","6","2024-10-21 16:44:18.24","2024-10-21 16:44:18.25"
9,"ALE","S1_BasicMechanics","3","Dosimeter_SABG100_1","BP_PlacePoint7","8","2024-10-21 16:44:21.933","2024-10-21 16:44:21.933"
