id,user_id,scenario_type,event_type,event_state,event_datetime
0,"ALE","S1_BasicMechanics","00001","Completed","2024-10-21 16:42:31.279"
1,"ALE","S1_BasicMechanics","S1001","Started","2024-10-21 16:42:43.213"
2,"ALE","S1_BasicMechanics","S1001","Completed","2024-10-21 16:42:47.41"
3,"ALE","S1_BasicMechanics","S1002","Started","2024-10-21 16:42:47.53"
4,"ALE","S1_BasicMechanics","S1002","Completed","2024-10-21 16:43:1.459"
5,"ALE","S1_BasicMechanics","S1003","Started","2024-10-21 16:43:1.471"
6,"ALE","S1_BasicMechanics","S1003","Completed","2024-10-21 16:44:21.945"
7,"ALE","S1_BasicMechanics","S1004","Started","2024-10-21 16:44:21.957"
8,"ALE","S1_BasicMechanics","S1004","Completed","2024-10-21 16:44:34.48"
9,"ALE","S1_BasicMechanics","S1005","Started","2024-10-21 16:44:34.60"
10,"ALE","S1_BasicMechanics","S1005","Completed","2024-10-21 16:44:47.659"
11,"ALE","S1_BasicMechanics","00002","Completed","2024-10-21 16:44:47.672"
