id,user_id,scenario_type,event_type,event_state,event_datetime
0,"ALE","T1_BasicMechanics","00001","Completed","2024-10-21 16:40:37.509"
1,"ALE","T1_BasicMechanics","T1001","Started","2024-10-21 16:40:55.217"
2,"ALE","T1_BasicMechanics","T1001","Completed","2024-10-21 16:41:6.858"
3,"ALE","T1_BasicMechanics","T1002","Started","2024-10-21 16:41:6.888"
4,"ALE","T1_BasicMechanics","T1002","Completed","2024-10-21 16:41:19.822"
5,"ALE","T1_BasicMechanics","T1003","Started","2024-10-21 16:41:19.848"
6,"ALE","T1_BasicMechanics","T1003","Completed","2024-10-21 16:41:34.94"
7,"ALE","T1_BasicMechanics","T1004","Started","2024-10-21 16:41:34.120"
8,"ALE","T1_BasicMechanics","T1004","Completed","2024-10-21 16:41:53.577"
9,"ALE","T1_BasicMechanics","T1005","Started","2024-10-21 16:41:53.602"
10,"ALE","T1_BasicMechanics","T1005","Completed","2024-10-21 16:42:11.97"
11,"ALE","T1_BasicMechanics","00002","Completed","2024-10-21 16:42:23.418"
