id,user_id,scenario_type,event_type,event_state,event_datetime
0,"TEST","T1_BasicMechanics","00001","Completed","2024-10-17 12:12:8.552"
1,"TEST","T1_BasicMechanics","T1001","Started","2024-10-17 12:12:26.289"
2,"TEST","T1_BasicMechanics","T1001","Completed","2024-10-17 12:12:36.829"
3,"TEST","T1_BasicMechanics","T1002","Started","2024-10-17 12:12:36.852"
4,"TEST","T1_BasicMechanics","T1002","Completed","2024-10-17 12:12:48.641"
5,"TEST","T1_BasicMechanics","T1003","Started","2024-10-17 12:12:48.658"
6,"TEST","T1_BasicMechanics","T1003","Completed","2024-10-17 12:13:2.286"
7,"TEST","T1_BasicMechanics","T1004","Started","2024-10-17 12:13:2.303"
8,"TEST","T1_BasicMechanics","T1004","Completed","2024-10-17 12:13:28.79"
9,"TEST","T1_BasicMechanics","T1005","Started","2024-10-17 12:13:28.97"
10,"TEST","T1_BasicMechanics","T1005","Completed","2024-10-17 12:13:44.348"
11,"TEST","T1_BasicMechanics","00002","Completed","2024-10-17 12:13:59.100"
