id,user_id,scenario_type,input_type,input_state,event_datetime
0,"TEST","T1_BasicMechanics","IA_Menu_Interact_Left","started","2024-10-17 12:12:30.993"
1,"TEST","T1_BasicMechanics","IA_Menu_Interact_Left","completed","2024-10-17 12:12:31.133"
2,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-17 12:12:33.432"
3,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-17 12:12:33.517"
4,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:35.390"
5,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:35.473"
6,"TEST","T1_BasicMechanics","IA_Move_Left","started","2024-10-17 12:12:35.833"
7,"TEST","T1_BasicMechanics","IA_Move_Left","completed","2024-10-17 12:12:35.959"
8,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:36.180"
9,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:36.305"
10,"TEST","T1_BasicMechanics","IA_Move_Left","started","2024-10-17 12:12:36.485"
11,"TEST","T1_BasicMechanics","IA_Move_Left","completed","2024-10-17 12:12:36.623"
12,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:36.718"
13,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:36.814"
14,"TEST","T1_BasicMechanics","IA_Move_Left","started","2024-10-17 12:12:36.964"
15,"TEST","T1_BasicMechanics","IA_Move_Left","completed","2024-10-17 12:12:37.109"
16,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:37.596"
17,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:37.717"
18,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:38.693"
19,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:39.261"
20,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:39.581"
21,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:39.773"
22,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:40.443"
23,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:40.568"
24,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-17 12:12:41.555"
25,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-17 12:12:41.666"
26,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-17 12:12:43.443"
27,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-17 12:12:43.484"
28,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:44.138"
29,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:44.303"
30,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:45.359"
31,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:45.581"
32,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:45.887"
33,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:46.40"
34,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:47.444"
35,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:47.595"
36,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:50.248"
37,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:50.373"
38,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:51.288"
39,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:51.438"
40,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:51.800"
41,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:51.926"
42,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-17 12:12:54.995"
43,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-17 12:12:55.88"
44,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-17 12:12:56.180"
45,"TEST","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-17 12:12:56.287"
46,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:56.869"
47,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:57.2"
48,"TEST","T1_BasicMechanics","IA_Grab_Left","started","2024-10-17 12:12:57.565"
49,"TEST","T1_BasicMechanics","IA_Grab_Left","completed","2024-10-17 12:12:58.124"
50,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:12:58.355"
51,"TEST","T1_BasicMechanics","IA_Move_Right","completed","2024-10-17 12:12:58.527"
52,"TEST","T1_BasicMechanics","IA_Grab_Right","started","2024-10-17 12:12:59.718"
53,"TEST","T1_BasicMechanics","IA_Grab_Right","completed","2024-10-17 12:13:0.3"
54,"TEST","T1_BasicMechanics","IA_Menu_Interact_Left","started","2024-10-17 12:13:0.322"
55,"TEST","T1_BasicMechanics","IA_Grab_Left","started","2024-10-17 12:13:0.362"
56,"TEST","T1_BasicMechanics","IA_Menu_Interact_Left","completed","2024-10-17 12:13:0.443"
57,"TEST","T1_BasicMechanics","IA_Grab_Left","completed","2024-10-17 12:13:0.746"
58,"TEST","T1_BasicMechanics","IA_Move_Right","started","2024-10-17 12:13:1.81"
