id,user_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,"TEST","T1_BasicMechanics","0","0","start_talk_with_npc","2024-10-17 12:13:35.488"
1,"TEST","T1_BasicMechanics","0","1","stop_talk_with_npc","2024-10-17 12:13:44.368"
