id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"AA","T2_BasicEmergency","[0.190051;0.184372;0.184349;0.185768;0.186597;0.187089;0.186352;0.186099;0.185844;0.185732;]","[0.0;0.000027;0.000055;0.000083;0.00011;0.000138;0.000165;0.000193;0.000221;0.000249;]","[(-3040.0;12260.0);(-3090.123535;12388.167969);(-3090.762207;12384.039062);(-3076.509033;12373.397461);(-3067.127441;12379.915039);(-3061.905762;12380.270508);(-3070.560547;12370.40332);(-3072.819092;12375.28125);(-3075.37915;12377.00293);(-3076.753906;12374.926758);]","[2024-10-22 13:55:41.527;2024-10-22 13:55:41.755;2024-10-22 13:55:42.270;2024-10-22 13:55:42.783;2024-10-22 13:55:43.299;2024-10-22 13:55:43.789;2024-10-22 13:55:44.304;2024-10-22 13:55:44.793;2024-10-22 13:55:45.319;2024-10-22 13:55:45.875;]"
1,"AA","T2_BasicEmergency","[0.185758;0.186147;0.186074;0.186046;0.185619;0.185963;0.186043;0.186098;0.186064;0.185885;]","[0.000277;0.000304;0.000333;0.000361;0.000388;0.000417;0.000444;0.000471;0.000499;0.000526;]","[(-3075.386719;12387.161133);(-3071.961426;12379.21582);(-3072.956055;12376.722656);(-3073.331787;12375.924805);(-3078.466797;12369.131836);(-3074.418701;12373.505859);(-3073.368896;12375.763672);(-3072.817627;12375.404297);(-3073.17334;12375.482422);(-3075.023438;12376.157227);]","[2024-10-22 13:55:46.372;2024-10-22 13:55:46.844;2024-10-22 13:55:47.401;2024-10-22 13:55:47.876;2024-10-22 13:55:48.379;2024-10-22 13:55:48.903;2024-10-22 13:55:49.405;2024-10-22 13:55:49.906;2024-10-22 13:55:50.409;2024-10-22 13:55:50.997;]"
2,"AA","T2_BasicEmergency","[0.185905;0.185918;0.186037;0.185958;0.185973;0.186024;0.186052;0.185892;0.18588;0.185903;]","[0.000553;0.000581;0.000608;0.000635;0.000663;0.00069;0.000718;0.000747;0.000775;0.000803;]","[(-3074.821533;12375.926758);(-3074.791992;12374.77832);(-3073.473877;12375.390625);(-3074.185791;12376.84375);(-3074.016357;12376.850586);(-3073.469238;12376.912109);(-3073.17627;12376.884766);(-3074.95166;12376.027344);(-3075.103271;12375.829102);(-3074.831543;12376.06543);]","[2024-10-22 13:55:51.433;2024-10-22 13:55:51.935;2024-10-22 13:55:52.436;2024-10-22 13:55:52.949;2024-10-22 13:55:53.456;2024-10-22 13:55:53.958;2024-10-22 13:55:54.462;2024-10-22 13:55:54.989;2024-10-22 13:55:55.517;2024-10-22 13:55:56.86;]"
3,"AA","T2_BasicEmergency","[0.185968;0.185964;0.185924;0.185898;0.185919;0.185967;0.18599;0.185995;0.185949;0.185901;]","[0.000831;0.000858;0.000886;0.000913;0.000941;0.000969;0.000997;0.001025;0.001053;0.00108;]","[(-3074.13501;12376.125);(-3074.209717;12375.790039);(-3074.627686;12375.845703);(-3074.864502;12376.333984);(-3074.576172;12377.129883);(-3074.105469;12376.661133);(-3073.896729;12376.205078);(-3073.839844;12376.279297);(-3074.248047;12377.141602);(-3074.73291;12377.485352);]","[2024-10-22 13:55:56.540;2024-10-22 13:55:57.43;2024-10-22 13:55:57.545;2024-10-22 13:55:58.47;2024-10-22 13:55:58.572;2024-10-22 13:55:59.74;2024-10-22 13:55:59.589;2024-10-22 13:56:0.116;2024-10-22 13:56:0.640;2024-10-22 13:56:1.220;]"
4,"AA","T2_BasicEmergency","[0.185887;0.185929;0.185988;0.185965;0.185936;0.185913;0.185956;0.185983;0.185939;0.185887;]","[0.001109;0.001136;0.001164;0.001191;0.001219;0.001247;0.001275;0.001303;0.001332;0.00136;]","[(-3074.873779;12377.59375);(-3074.474121;12376.974609);(-3073.869629;12376.817383);(-3074.103027;12376.946289);(-3074.43042;12376.727539);(-3074.65625;12376.861328);(-3074.213379;12376.709961);(-3073.949951;12376.496094);(-3074.360596;12377.123047);(-3074.911865;12377.084961);]","[2024-10-22 13:56:1.664;2024-10-22 13:56:2.154;2024-10-22 13:56:2.668;2024-10-22 13:56:3.170;2024-10-22 13:56:3.669;2024-10-22 13:56:4.198;2024-10-22 13:56:4.698;2024-10-22 13:56:5.215;2024-10-22 13:56:5.750;2024-10-22 13:56:6.348;]"
5,"AA","T2_BasicEmergency","[0.185934;0.185929;0.185883;0.185835;0.185805;0.185691;0.185689;0.185887;0.185989;0.185868;]","[0.001389;0.001417;0.001445;0.001472;0.0015;0.001527;0.001555;0.001582;0.00161;0.001638;]","[(-3074.429932;12376.879883);(-3074.48291;12376.889648);(-3074.968018;12377.000977);(-3075.480957;12376.921875);(-3075.659668;12378.578125);(-3076.793213;12379.489258);(-3076.927002;12378.203125);(-3074.952881;12376.657227);(-3073.754639;12377.898438);(-3074.901123;12379.513672);]","[2024-10-22 13:56:6.804;2024-10-22 13:56:7.330;2024-10-22 13:56:7.834;2024-10-22 13:56:8.335;2024-10-22 13:56:8.838;2024-10-22 13:56:9.347;2024-10-22 13:56:9.850;2024-10-22 13:56:10.354;2024-10-22 13:56:10.856;2024-10-22 13:56:11.436;]"
6,"AA","T2_BasicEmergency","[0.185734;0.185823;0.185762;0.185684;0.18584;0.89013;0.890636;0.890869;0.889005;0.886577;]","[0.001665;0.001693;0.00172;0.001749;0.001777;0.001869;0.002007;0.002144;0.002275;0.002412;]","[(-3076.341553;12379.341797);(-3075.453857;12378.686523);(-3076.092529;12378.759766);(-3076.988037;12378.070312);(-3075.390137;12377.367188);(-949.634888;12089.696289);(-948.973633;12094.024414);(-948.856445;12090.625977);(-950.863647;12086.936523);(-953.344055;12086.493164);]","[2024-10-22 13:56:11.879;2024-10-22 13:56:12.404;2024-10-22 13:56:12.909;2024-10-22 13:56:13.432;2024-10-22 13:56:13.958;2024-10-22 13:56:14.459;2024-10-22 13:56:14.987;2024-10-22 13:56:15.513;2024-10-22 13:56:16.12;2024-10-22 13:56:16.609;]"
7,"AA","T2_BasicEmergency","[0.879325;0.879395;0.880697;0.881346;0.882016;0.883985;0.884832;0.880998;0.879081;0.879139;]","[0.002546;0.002676;0.002805;0.002935;0.003064;0.003193;0.003324;0.003459;0.003588;0.003722;]","[(-960.768799;12086.610352);(-960.617371;12089.100586);(-959.32251;12087.700195);(-958.723328;12085.521484);(-958.039062;12085.418945);(-956.022705;12085.381836);(-955.118835;12086.647461);(-959.043152;12086.736328);(-960.989929;12087.5625);(-960.935974;12087.378906);]","[2024-10-22 13:56:17.90;2024-10-22 13:56:17.566;2024-10-22 13:56:18.68;2024-10-22 13:56:18.570;2024-10-22 13:56:19.69;2024-10-22 13:56:19.569;2024-10-22 13:56:20.72;2024-10-22 13:56:20.599;2024-10-22 13:56:21.100;2024-10-22 13:56:21.699;]"
8,"AA","T2_BasicEmergency","[0.880095;0.882817;0.879264;0.878295;0.879422;0.880869;0.880759;0.879527;0.880326;0.881442;]","[0.003858;0.003994;0.004125;0.004253;0.004382;0.004512;0.004641;0.004782;0.004918;0.005048;]","[(-959.936035;12087.856445);(-957.132874;12088.097656);(-960.802734;12087.520508);(-961.803711;12087.487305);(-960.647888;12087.275391);(-959.161072;12087.208008);(-959.275879;12087.157227);(-960.554871;12086.802734);(-959.763672;12085.772461);(-958.640991;12084.99707);]","[2024-10-22 13:56:22.148;2024-10-22 13:56:22.674;2024-10-22 13:56:23.177;2024-10-22 13:56:23.681;2024-10-22 13:56:24.181;2024-10-22 13:56:24.682;2024-10-22 13:56:25.171;2024-10-22 13:56:25.735;2024-10-22 13:56:26.234;2024-10-22 13:56:26.811;]"
9,"AA","T2_BasicEmergency","[0.881647;0.882017;0.881471;0.881873;0.882025;0.882117;0.881976;0.882005;0.881102;0.881422;]","[0.005183;0.005318;0.00545;0.005579;0.005711;0.005841;0.005971;0.0061;0.006234;0.006364;]","[(-958.41571;12085.477539);(-958.066589;12084.474609);(-958.632446;12084.291016);(-958.215515;12084.408203);(-958.060242;12084.40918);(-957.946411;12085.03125);(-958.080627;12085.382812);(-958.060242;12085.087891);(-958.970886;12085.62207);(-958.653259;12085.272461);]","[2024-10-22 13:56:27.260;2024-10-22 13:56:27.768;2024-10-22 13:56:28.281;2024-10-22 13:56:28.786;2024-10-22 13:56:29.309;2024-10-22 13:56:29.810;2024-10-22 13:56:30.326;2024-10-22 13:56:30.824;2024-10-22 13:56:31.347;2024-10-22 13:56:31.933;]"
