id,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime
156,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 14:1:37.824
157,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 14:1:38.282
158,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:40.293
159,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:40.362
160,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:40.511
161,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:40.612
162,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:40.801
163,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:41.246
164,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:41.535
165,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:41.746
166,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:41.984
167,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:42.79
168,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:42.207
169,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:42.306
170,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:42.513
171,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:42.593
172,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:42.698
173,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:42.801
174,AA,1,T2_BasicEmergency,IA_Grab_Right,started,Right,2024-10-22 14:1:43.326
175,AA,1,T2_BasicEmergency,IA_Grab_Right,completed,Right,2024-10-22 14:1:43.553
176,AA,1,T2_BasicEmergency,IA_Grab_Right,started,Right,2024-10-22 14:1:43.756
177,AA,1,T2_BasicEmergency,IA_Grab_Right,completed,Right,2024-10-22 14:1:43.995
178,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:44.171
179,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:44.529
180,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:44.705
181,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:47.689
182,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:48.917
183,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:49.15
184,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:52.647
185,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:52.758
186,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:53.436
187,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:1:53.541
188,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 14:1:56.218
189,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 14:1:57.469
190,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 14:1:58.26
191,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 14:1:58.833
192,AA,1,T2_BasicEmergency,IA_Menu_Toggle_Right,started,Right,2024-10-22 14:1:59.301
193,AA,1,T2_BasicEmergency,IA_Menu_Toggle_Right,completed,Right,2024-10-22 14:1:59.381
194,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:1:59.788
195,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:2:0.155
196,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 14:2:0.356
197,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 14:2:0.628
198,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 14:2:1.619
199,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 14:2:1.751
