id,user_id,scenario_type,event_type,event_state,event_datetime
0,"AA","T2_BasicEmergency","00001","Completed","2024-10-22 13:55:50.851"
1,"AA","T2_BasicEmergency","T2001","Started","2024-10-22 13:56:14.156"
2,"AA","T2_BasicEmergency","T2001","Completed","2024-10-22 13:57:22.452"
3,"AA","T2_BasicEmergency","T2002","Started","2024-10-22 13:57:22.495"
4,"AA","T2_BasicEmergency","T2002","Completed","2024-10-22 13:58:57.217"
5,"AA","T2_BasicEmergency","T2003","Started","2024-10-22 13:58:57.266"
6,"AA","T2_BasicEmergency","T2003","Completed","2024-10-22 13:59:41.79"
7,"AA","T2_BasicEmergency","T2004","Started","2024-10-22 13:59:41.127"
8,"AA","T2_BasicEmergency","T2004","Completed","2024-10-22 14:0:32.478"
9,"AA","T2_BasicEmergency","T2005","Started","2024-10-22 14:0:32.525"
10,"AA","T2_BasicEmergency","T2005","Completed","2024-10-22 14:1:54.531"
11,"AA","T2_BasicEmergency","00002","Completed","2024-10-22 14:2:15.988"
