id,user_id,scenario_type,actor_id,actor_name
0,"AB","S1_BasicMechanics","1","Knob1_GEN_VARIABLE_BP_DoorKnob_C_CAT_1081"
1,"AB","S1_BasicMechanics","1","ChildActor_GEN_VARIABLE_BP_DoorKnob_C_CAT_1082"
2,"AB","S1_BasicMechanics","1","Knob1_GEN_VARIABLE_BP_DoorKnob_C_CAT_1088"
3,"AB","S1_BasicMechanics","1","ChildActor_GEN_VARIABLE_BP_DoorKnob_C_CAT_1089"
4,"AB","S1_BasicMechanics","3","Dosimeter_SABG100_1"
5,"AB","S1_BasicMechanics","3","Dosimeter_SABG100_4"
6,"AB","S1_BasicMechanics","3","Dosimeter_SABG100_2"
7,"AB","S1_BasicMechanics","3","Dosimeter_SABG100_3"
8,"AB","S1_BasicMechanics","1","TrafficCone_4"
9,"AB","S1_BasicMechanics","1","TrafficCone_3"
10,"AB","S1_BasicMechanics","1","TrafficCone_5"
11,"AB","S1_BasicMechanics","1","TrafficCone_1"
12,"AB","S1_BasicMechanics","1","TrafficCone_2"
13,"AB","S1_BasicMechanics","4","Dosimeter_EPD_3"
14,"AB","S1_BasicMechanics","4","Dosimeter_EPD_1"
15,"AB","S1_BasicMechanics","4","Dosimeter_EPD_2"
