id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
115,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:44.449","2024-10-25 13:48:44.897","(12825.644531;-3959.671631)","(13150.362305;-3994.773682)","3.266097"
116,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:45.940","2024-10-25 13:48:46.45","(13167.319336;-3991.645508)","(13190.0;-3950.891846)","0.466398"
117,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:42.991","2024-10-25 13:48:46.626","(0.0;0.0)","(-14.479994;0.315835)","0.144834"
118,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:46.635","2024-10-25 13:48:47.654","(-14.479994;0.315835)","(-3.944772;9.852081)","0.142102"
119,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:47.665","2024-10-25 13:48:49.180","(-3.944772;9.852081)","(19.935162;15.812545)","0.246126"
120,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:49.719","2024-10-25 13:48:49.998","(13166.825195;-3970.756348)","(13190.0;-4156.958008)","1.876384"
121,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:49.191","2024-10-25 13:48:50.688","(0.0;0.0)","(-15.450187;-4.018463)","0.159642"
122,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:50.697","2024-10-25 13:48:51.215","(-15.450187;-4.018463)","(-36.609684;-1.321772)","0.213306"
123,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:51.224","2024-10-25 13:48:51.741","(-36.609684;-1.321772)","(-23.977087;-16.717476)","0.199151"
124,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:51.751","2024-10-25 13:48:52.259","(-23.977087;-16.717476)","(-15.090456;-30.90649)","0.167422"
125,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:52.189","2024-10-25 13:48:52.295","(13204.366211;-4128.796875)","(13177.624023;-4076.475342)","0.587599"
126,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:52.773","2024-10-25 13:48:52.909","(13182.37793;-4076.597656)","(13190.0;-4032.510742)","0.447411"
127,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:52.269","2024-10-25 13:48:53.794","(0.0;0.0)","(-19.802517;9.887627)","0.221338"
128,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:53.803","2024-10-25 13:48:54.824","(-19.802517;9.887627)","(10.422668;27.077297)","0.347713"
129,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:54.805","2024-10-25 13:48:54.961","(13181.773438;-4059.394287)","(13190.0;-4118.283203)","0.594608"
130,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:54.834","2024-10-25 13:48:55.879","(0.0;0.0)","(-20.297792;-0.739397)","0.203113"
131,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:55.890","2024-10-25 13:48:56.380","(-20.297792;-0.739397)","(-31.472633;1.038914)","0.113155"
132,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:56.389","2024-10-25 13:48:57.928","(-31.472633;1.038914)","(4.005716;0.091057)","0.35491"
133,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:57.938","2024-10-25 13:48:58.432","(4.005716;0.091057)","(18.143847;-1.737698)","0.142559"
134,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:58.442","2024-10-25 13:48:59.456","(18.143847;-1.737698)","(3.03314;-8.187431)","0.164296"
135,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:48:55.526","2024-10-25 13:49:0.159","(13197.71875;-4115.429199)","(13187.678711;-3826.503662)","2.891001"
136,"AB","S1_BasicMechanics","real_life","2024-10-25 13:48:59.467","2024-10-25 13:49:1.516","(0.0;0.0)","(-15.482798;12.132654)","0.196702"
