id,user_id,experiment_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
0,AB,1,S1_BasicMechanics,2,TrafficCone_3,start_detection,Right,2024-10-25 13:47:50.249
1,AB,1,S1_BasicMechanics,2,TrafficCone_3,grab,Right,2024-10-25 13:47:50.545
2,AB,1,S1_BasicMechanics,2,TrafficCone_3,stop_detection,Right,2024-10-25 13:47:50.556
3,AB,1,S1_BasicMechanics,2,TrafficCone_3,start_detection,Left,2024-10-25 13:47:50.996
4,AB,1,S1_BasicMechanics,2,TrafficCone_3,stop_detection,Left,2024-10-25 13:47:52.540
5,AB,1,S1_BasicMechanics,2,TrafficCone_3,start_detection,Left,2024-10-25 13:47:52.836
6,AB,1,S1_BasicMechanics,2,TrafficCone_3,release,Right,2024-10-25 13:47:54.776
7,AB,1,S1_BasicMechanics,2,TrafficCone_3,stop_detection,Left,2024-10-25 13:47:54.789
8,AB,1,S1_BasicMechanics,2,TrafficCone_1,start_detection,Right,2024-10-25 13:48:1.80
9,AB,1,S1_BasicMechanics,2,TrafficCone_1,grab,Right,2024-10-25 13:48:1.222
10,AB,1,S1_BasicMechanics,2,TrafficCone_1,stop_detection,Right,2024-10-25 13:48:1.232
11,AB,1,S1_BasicMechanics,2,TrafficCone_1,start_detection,Left,2024-10-25 13:48:1.576
12,AB,1,S1_BasicMechanics,2,TrafficCone_1,stop_detection,Left,2024-10-25 13:48:1.704
13,AB,1,S1_BasicMechanics,2,TrafficCone_1,start_detection,Left,2024-10-25 13:48:3.71
14,AB,1,S1_BasicMechanics,2,TrafficCone_1,stop_detection,Left,2024-10-25 13:48:3.448
15,AB,1,S1_BasicMechanics,2,TrafficCone_1,release,Right,2024-10-25 13:48:3.496
16,AB,1,S1_BasicMechanics,2,TrafficCone_5,start_detection,Left,2024-10-25 13:48:8.324
17,AB,1,S1_BasicMechanics,2,TrafficCone_5,grab,Left,2024-10-25 13:48:8.413
18,AB,1,S1_BasicMechanics,2,TrafficCone_5,stop_detection,Left,2024-10-25 13:48:8.423
19,AB,1,S1_BasicMechanics,2,TrafficCone_5,release,Left,2024-10-25 13:48:11.723
20,AB,1,S1_BasicMechanics,2,TrafficCone_4,start_detection,Left,2024-10-25 13:48:16.793
21,AB,1,S1_BasicMechanics,2,TrafficCone_4,grab,Left,2024-10-25 13:48:17.38
22,AB,1,S1_BasicMechanics,2,TrafficCone_4,stop_detection,Left,2024-10-25 13:48:17.48
23,AB,1,S1_BasicMechanics,2,TrafficCone_4,release,Left,2024-10-25 13:48:20.196
24,AB,1,S1_BasicMechanics,2,TrafficCone_2,start_detection,Right,2024-10-25 13:48:27.155
25,AB,1,S1_BasicMechanics,2,TrafficCone_2,grab,Right,2024-10-25 13:48:27.446
26,AB,1,S1_BasicMechanics,2,TrafficCone_2,stop_detection,Right,2024-10-25 13:48:27.457
27,AB,1,S1_BasicMechanics,2,TrafficCone_2,start_detection,Left,2024-10-25 13:48:27.987
28,AB,1,S1_BasicMechanics,2,TrafficCone_2,stop_detection,Left,2024-10-25 13:48:28.142
29,AB,1,S1_BasicMechanics,2,TrafficCone_2,release,Right,2024-10-25 13:48:30.863
30,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_4,start_detection,Right,2024-10-25 13:48:34.818
31,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_4,grab,Right,2024-10-25 13:48:34.879
32,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_4,stop_detection,Right,2024-10-25 13:48:34.889
33,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_1,start_detection,Left,2024-10-25 13:48:41.666
34,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_1,grab,Left,2024-10-25 13:48:41.699
35,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_1,stop_detection,Left,2024-10-25 13:48:41.709
36,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_4,release,Right,2024-10-25 13:48:46.865
37,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_1,release,Left,2024-10-25 13:48:48.92
