id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AB,1,S1_BasicMechanics,00001,Completed,2024-10-25 13:46:35.858
1,AB,1,S1_BasicMechanics,S1001,Started,2024-10-25 13:46:59.376
2,AB,1,S1_BasicMechanics,S1001,Completed,2024-10-25 13:47:6.464
3,AB,1,S1_BasicMechanics,S1002,Started,2024-10-25 13:47:6.473
4,AB,1,S1_BasicMechanics,S1002,Completed,2024-10-25 13:47:43.51
5,AB,1,S1_BasicMechanics,S1003,Started,2024-10-25 13:47:43.62
6,AB,1,S1_BasicMechanics,S1003,Completed,2024-10-25 13:49:9.598
7,AB,1,S1_BasicMechanics,S1004,Started,2024-10-25 13:49:9.608
8,AB,1,S1_BasicMechanics,S1004,Completed,2024-10-25 13:49:32.129
9,AB,1,S1_BasicMechanics,S1005,Started,2024-10-25 13:49:32.141
10,AB,1,S1_BasicMechanics,S1005,Completed,2024-10-25 13:49:52.951
11,AB,1,S1_BasicMechanics,00002,Completed,2024-10-25 13:49:52.961
