id,user_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"AB","T2_BasicEmergency","2","[0.0;2.084789;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;]","[0.0;0.000283;0.000583;0.000877;0.001167;0.001465;0.001747;0.002043;0.002334;0.002625;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[2024-10-25 13:49:53.656;2024-10-25 13:49:54.5;2024-10-25 13:49:54.434;2024-10-25 13:49:54.945;2024-10-25 13:49:55.445;2024-10-25 13:49:55.959;2024-10-25 13:49:56.460;2024-10-25 13:49:56.985;2024-10-25 13:49:57.487;2024-10-25 13:49:57.990;]"
1,"AB","T2_BasicEmergency","2","[0.0;1.87124;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;]","[0.0;0.000254;0.000523;0.000787;0.001048;0.001315;0.001568;0.001834;0.002095;0.002356;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[2024-10-25 13:49:53.657;2024-10-25 13:49:54.14;2024-10-25 13:49:54.434;2024-10-25 13:49:54.945;2024-10-25 13:49:55.445;2024-10-25 13:49:55.959;2024-10-25 13:49:56.460;2024-10-25 13:49:56.985;2024-10-25 13:49:57.487;2024-10-25 13:49:57.999;]"
2,"AB","T2_BasicEmergency","2","[0.0;1.995233;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;]","[0.0;0.000271;0.000558;0.000839;0.001117;0.001402;0.001672;0.001956;0.002234;0.002512;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[2024-10-25 13:49:53.657;2024-10-25 13:49:54.23;2024-10-25 13:49:54.435;2024-10-25 13:49:54.945;2024-10-25 13:49:55.445;2024-10-25 13:49:55.959;2024-10-25 13:49:56.460;2024-10-25 13:49:56.985;2024-10-25 13:49:57.487;2024-10-25 13:49:58.12;]"
3,"AB","T2_BasicEmergency","2","[2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;]","[0.00293;0.003221;0.003512;0.003817;0.00412;0.00441;0.004701;0.004992;0.005295;0.005587;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[2024-10-25 13:49:58.515;2024-10-25 13:49:59.18;2024-10-25 13:49:59.520;2024-10-25 13:50:0.50;2024-10-25 13:50:0.572;2024-10-25 13:50:1.73;2024-10-25 13:50:1.574;2024-10-25 13:50:2.76;2024-10-25 13:50:2.574;2024-10-25 13:50:3.89;]"
4,"AB","T2_BasicEmergency","2","[1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;]","[0.00263;0.002891;0.003152;0.003426;0.003698;0.003959;0.00422;0.00448;0.004752;0.005015;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[2024-10-25 13:49:58.515;2024-10-25 13:49:59.18;2024-10-25 13:49:59.520;2024-10-25 13:50:0.50;2024-10-25 13:50:0.573;2024-10-25 13:50:1.73;2024-10-25 13:50:1.574;2024-10-25 13:50:2.76;2024-10-25 13:50:2.574;2024-10-25 13:50:3.106;]"
5,"AB","T2_BasicEmergency","2","[1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;]","[0.002804;0.003082;0.003361;0.003653;0.003943;0.004221;0.004499;0.004777;0.005067;0.005347;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[2024-10-25 13:49:58.515;2024-10-25 13:49:59.18;2024-10-25 13:49:59.520;2024-10-25 13:50:0.50;2024-10-25 13:50:0.573;2024-10-25 13:50:1.73;2024-10-25 13:50:1.574;2024-10-25 13:50:2.76;2024-10-25 13:50:2.574;2024-10-25 13:50:3.123;]"
6,"AB","T2_BasicEmergency","2","[2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;]","[0.005881;0.006184;0.006469;0.006767;0.007063;0.007366;0.007658;0.007961;0.008253;0.008543;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[2024-10-25 13:50:3.600;2024-10-25 13:50:4.108;2024-10-25 13:50:4.613;2024-10-25 13:50:5.128;2024-10-25 13:50:5.649;2024-10-25 13:50:6.176;2024-10-25 13:50:6.680;2024-10-25 13:50:7.204;2024-10-25 13:50:7.705;2024-10-25 13:50:8.209;]"
7,"AB","T2_BasicEmergency","2","[1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;1.871327;]","[0.005279;0.005551;0.005807;0.006074;0.006339;0.006612;0.006873;0.007146;0.007408;0.007668;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[2024-10-25 13:50:3.600;2024-10-25 13:50:4.108;2024-10-25 13:50:4.613;2024-10-25 13:50:5.128;2024-10-25 13:50:5.649;2024-10-25 13:50:6.176;2024-10-25 13:50:6.680;2024-10-25 13:50:7.204;2024-10-25 13:50:7.705;2024-10-25 13:50:8.226;]"
8,"AB","T2_BasicEmergency","2","[1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;1.995329;]","[0.005629;0.005919;0.006191;0.006476;0.006759;0.00705;0.007329;0.007619;0.007899;0.008176;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[2024-10-25 13:50:3.600;2024-10-25 13:50:4.108;2024-10-25 13:50:4.613;2024-10-25 13:50:5.128;2024-10-25 13:50:5.649;2024-10-25 13:50:6.176;2024-10-25 13:50:6.680;2024-10-25 13:50:7.204;2024-10-25 13:50:7.705;2024-10-25 13:50:8.243;]"
9,"AB","T2_BasicEmergency","2","[2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;2.084891;]","[0.008848;0.009139;0.009444;0.009735;0.010025;0.010319;0.010617;0.010923;0.011214;0.011518;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[2024-10-25 13:50:8.734;2024-10-25 13:50:9.236;2024-10-25 13:50:9.764;2024-10-25 13:50:10.265;2024-10-25 13:50:10.769;2024-10-25 13:50:11.273;2024-10-25 13:50:11.789;2024-10-25 13:50:12.318;2024-10-25 13:50:12.817;2024-10-25 13:50:13.344;]"
