id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"AB","T2_BasicEmergency","[0.190051;0.188009;0.18777;0.186518;0.186708;0.187774;0.188373;0.188177;0.189033;0.18853;]","[0.0;0.000027;0.000054;0.000082;0.000108;0.000136;0.000163;0.000191;0.000219;0.000246;]","[(-3040.0;12260.0);(-3061.231445;12259.166992);(-3063.814209;12257.19043);(-3077.95459;12239.445312);(-3076.180908;12235.136719);(-3063.318848;12264.835938);(-3057.366699;12259.736328);(-3059.34375;12260.838867);(-3050.68457;12256.980469);(-3054.938721;12272.928711);]","[2024-10-25 13:49:53.660;2024-10-25 13:49:54.76;2024-10-25 13:49:54.435;2024-10-25 13:49:54.945;2024-10-25 13:49:55.446;2024-10-25 13:49:55.959;2024-10-25 13:49:56.461;2024-10-25 13:49:56.986;2024-10-25 13:49:57.498;2024-10-25 13:49:58.26;]"
1,"AB","T2_BasicEmergency","[0.188153;0.188982;0.190413;0.19057;0.190573;0.190104;0.190057;0.190135;0.190065;0.190198;]","[0.000275;0.000303;0.000331;0.000361;0.00039;0.000418;0.000446;0.000474;0.000502;0.00053;]","[(-3058.696045;12275.625);(-3050.650391;12266.314453);(-3036.861328;12250.310547);(-3035.348877;12248.558594);(-3035.484619;12245.533203);(-3040.349121;12244.532227);(-3040.690186;12246.988281);(-3039.950928;12245.856445);(-3040.726562;12244.984375);(-3039.365479;12244.927734);]","[2024-10-25 13:49:58.515;2024-10-25 13:49:59.19;2024-10-25 13:49:59.537;2024-10-25 13:50:0.50;2024-10-25 13:50:0.574;2024-10-25 13:50:1.74;2024-10-25 13:50:1.575;2024-10-25 13:50:2.77;2024-10-25 13:50:2.575;2024-10-25 13:50:3.140;]"
2,"AB","T2_BasicEmergency","[0.189899;0.189223;0.190321;0.190164;0.19017;0.190069;0.189265;0.189519;0.189494;0.189639;]","[0.000558;0.000587;0.000614;0.000642;0.000671;0.0007;0.000728;0.000757;0.000785;0.000813;]","[(-3043.004639;12234.183594);(-3050.078613;12232.188477);(-3038.229248;12242.544922);(-3039.640137;12246.148438);(-3039.57373;12246.302734);(-3040.447754;12249.094727);(-3048.292725;12256.845703);(-3046.354492;12244.714844);(-3046.678467;12243.613281);(-3045.134033;12244.420898);]","[2024-10-25 13:50:3.619;2024-10-25 13:50:4.109;2024-10-25 13:50:4.614;2024-10-25 13:50:5.128;2024-10-25 13:50:5.650;2024-10-25 13:50:6.177;2024-10-25 13:50:6.700;2024-10-25 13:50:7.205;2024-10-25 13:50:7.706;2024-10-25 13:50:8.262;]"
3,"AB","T2_BasicEmergency","[0.189821;0.190004;0.190108;0.19007;0.189256;0.188186;0.189657;0.189915;0.190151;0.190359;]","[0.000842;0.00087;0.000899;0.000927;0.000955;0.000983;0.001012;0.001041;0.00107;0.001099;]","[(-3043.210205;12245.277344);(-3041.305176;12245.769531);(-3040.245605;12245.705078);(-3040.603516;12246.234375);(-3048.516602;12254.545898);(-3059.596191;12254.879883);(-3044.823242;12246.655273);(-3042.511719;12240.387695);(-3040.503662;12232.665039);(-3038.114746;12237.487305);]","[2024-10-25 13:50:8.735;2024-10-25 13:50:9.236;2024-10-25 13:50:9.765;2024-10-25 13:50:10.266;2024-10-25 13:50:10.787;2024-10-25 13:50:11.274;2024-10-25 13:50:11.807;2024-10-25 13:50:12.319;2024-10-25 13:50:12.841;2024-10-25 13:50:13.397;]"
4,"AB","T2_BasicEmergency","[0.190503;0.190653;0.190725;0.190645;0.190612;0.190493;0.190485;0.190531;0.190475;0.190569;]","[0.001127;0.001155;0.001183;0.001211;0.001239;0.001268;0.001296;0.001324;0.001353;0.001381;]","[(-3035.92627;12250.411133);(-3034.183594;12254.130859);(-3034.190186;12240.822266);(-3035.482178;12231.917969);(-3035.775146;12232.730469);(-3036.870117;12235.15332);(-3036.382568;12245.591797);(-3035.25708;12257.05957);(-3036.09082;12252.561523);(-3035.404541;12247.779297);]","[2024-10-25 13:50:13.867;2024-10-25 13:50:14.345;2024-10-25 13:50:14.874;2024-10-25 13:50:15.371;2024-10-25 13:50:15.874;2024-10-25 13:50:16.401;2024-10-25 13:50:16.919;2024-10-25 13:50:17.404;2024-10-25 13:50:17.928;2024-10-25 13:50:18.484;]"
5,"AB","T2_BasicEmergency","[0.190656;0.190649;0.190627;0.190791;0.1909;0.190895;0.190881;0.190856;0.190822;0.190782;]","[0.001411;0.00144;0.001468;0.001496;0.001524;0.001554;0.001583;0.001611;0.001639;0.001668;]","[(-3034.533447;12247.375977);(-3034.522217;12248.973633);(-3034.727539;12249.216797);(-3033.091064;12248.499023);(-3032.005859;12248.077148);(-3032.091553;12247.463867);(-3032.261475;12246.887695);(-3032.472412;12247.78418);(-3032.831299;12247.538086);(-3033.252686;12247.391602);]","[2024-10-25 13:50:18.955;2024-10-25 13:50:19.482;2024-10-25 13:50:19.984;2024-10-25 13:50:20.487;2024-10-25 13:50:20.987;2024-10-25 13:50:21.503;2024-10-25 13:50:22.38;2024-10-25 13:50:22.541;2024-10-25 13:50:23.41;2024-10-25 13:50:23.600;]"
6,"AB","T2_BasicEmergency","[0.190689;0.190743;0.190673;0.190662;0.190692;0.190734;0.190722;0.19068;0.190623;0.190596;]","[0.001696;0.001724;0.001752;0.001781;0.001809;0.001838;0.001866;0.001895;0.001923;0.001951;]","[(-3034.156006;12248.144531);(-3033.633301;12247.581055);(-3034.315186;12248.212891);(-3034.446289;12247.798828);(-3034.138428;12247.847656);(-3033.726318;12247.614258);(-3033.830322;12247.957031);(-3034.249023;12248.166016);(-3034.8479;12247.770508);(-3035.133789;12247.652344);]","[2024-10-25 13:50:24.65;2024-10-25 13:50:24.567;2024-10-25 13:50:25.69;2024-10-25 13:50:25.570;2024-10-25 13:50:26.72;2024-10-25 13:50:26.595;2024-10-25 13:50:27.95;2024-10-25 13:50:27.626;2024-10-25 13:50:28.126;2024-10-25 13:50:28.672;]"
7,"AB","T2_BasicEmergency","[0.190578;0.190604;0.190599;0.190651;0.190734;0.190727;0.190807;0.19082;0.190612;0.190721;]","[0.00198;0.002008;0.002036;0.002064;0.002092;0.002122;0.00215;0.00218;0.002208;0.002236;]","[(-3035.328613;12247.455078);(-3035.008057;12248.518555);(-3034.998535;12249.530273);(-3034.511963;12248.700195);(-3033.749268;12247.123047);(-3033.862793;12246.367188);(-3033.082275;12245.827148);(-3032.949707;12245.761719);(-3035.040039;12246.344727);(-3033.915283;12246.637695);]","[2024-10-25 13:50:29.149;2024-10-25 13:50:29.650;2024-10-25 13:50:30.152;2024-10-25 13:50:30.657;2024-10-25 13:50:31.156;2024-10-25 13:50:31.685;2024-10-25 13:50:32.196;2024-10-25 13:50:32.736;2024-10-25 13:50:33.237;2024-10-25 13:50:33.790;]"
8,"AB","T2_BasicEmergency","[0.190878;0.889094;0.887777;0.878281;0.880676;0.887257;0.879452;0.8678;0.866513;0.867756;]","[0.002265;0.002369;0.002501;0.00263;0.002761;0.002891;0.003028;0.003159;0.003288;0.003412;]","[(-3032.291748;12246.947266);(-950.611694;12091.039062);(-952.049927;12087.994141);(-962.013184;12080.009766);(-959.488037;12082.042969);(-952.676941;12084.821289);(-960.803467;12080.074219);(-973.067505;12074.791016);(-974.40625;12075.420898);(-973.010559;12078.810547);]","[2024-10-25 13:50:34.263;2024-10-25 13:50:34.763;2024-10-25 13:50:35.254;2024-10-25 13:50:35.757;2024-10-25 13:50:36.279;2024-10-25 13:50:36.779;2024-10-25 13:50:37.307;2024-10-25 13:50:37.822;2024-10-25 13:50:38.331;2024-10-25 13:50:38.885;]"
9,"AB","T2_BasicEmergency","[0.869211;0.870524;0.871014;0.871283;0.870522;0.8671;0.866918;0.869784;0.867648;0.866736;]","[0.003542;0.003669;0.003803;0.003931;0.004063;0.004194;0.004321;0.004455;0.004586;0.004713;]","[(-971.45752;12079.722656);(-970.088257;12079.509766);(-969.575134;12079.555664);(-969.2771;12080.150391);(-970.09137;12079.503906);(-973.701416;12078.780273);(-973.880493;12079.224609);(-970.864563;12079.447266);(-973.136292;12078.323242);(-974.125;12077.250977);]","[2024-10-25 13:50:39.357;2024-10-25 13:50:39.858;2024-10-25 13:50:40.380;2024-10-25 13:50:40.886;2024-10-25 13:50:41.388;2024-10-25 13:50:41.906;2024-10-25 13:50:42.409;2024-10-25 13:50:42.933;2024-10-25 13:50:43.462;2024-10-25 13:50:44.22;]"
