id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AA,1,T1_BasicMechanics,00001,Completed,2024-10-22 13:47:34.201
1,AA,1,T1_BasicMechanics,T1001,Started,2024-10-22 13:48:9.376
2,AA,1,T1_BasicMechanics,T1001,Completed,2024-10-22 13:48:47.147
3,AA,1,T1_BasicMechanics,T1002,Started,2024-10-22 13:48:47.174
4,AA,1,T1_BasicMechanics,T1002,Completed,2024-10-22 13:49:32.368
5,AA,1,T1_BasicMechanics,T1003,Started,2024-10-22 13:49:32.391
6,AA,1,T1_BasicMechanics,T1003,Completed,2024-10-22 13:50:11.770
7,AA,1,T1_BasicMechanics,T1004,Started,2024-10-22 13:50:11.788
8,AA,1,T1_BasicMechanics,T1004,Completed,2024-10-22 13:50:49.142
9,AA,1,T1_BasicMechanics,T1005,Started,2024-10-22 13:50:49.160
10,AA,1,T1_BasicMechanics,T1005,Completed,2024-10-22 13:51:56.282
11,AA,1,T1_BasicMechanics,00002,Completed,2024-10-22 13:52:16.458
