id,user_id,experiment_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,AA,1,T1_BasicMechanics,1,0,start_talk_with_npc,2024-10-22 13:51:32.214
1,AA,1,T1_BasicMechanics,1,0,stop_talk_with_npc,2024-10-22 13:51:56.306
