id,user_id,scenario_type,actor_id,dose_rate,dose_absortion,event_datetime
69, "2", "Develop", "0", "0.306596", "0.001555", "2024-1-19 17:22:23"
70, "2", "Develop", "0", "0.306596", "0.001598", "2024-1-19 17:22:24"
71, "2", "Develop", "0", "0.306596", "0.001643", "2024-1-19 17:22:24"
72, "2", "Develop", "0", "0.306596", "0.001686", "2024-1-19 17:22:25"
73, "2", "Develop", "0", "0.306596", "0.00173", "2024-1-19 17:22:25"
74, "2", "Develop", "0", "0.306596", "0.001773", "2024-1-19 17:22:26"
75, "2", "Develop", "0", "0.306596", "0.001818", "2024-1-19 17:22:26"
76, "2", "Develop", "0", "0.306596", "0.001861", "2024-1-19 17:22:27"
77, "2", "Develop", "0", "0.306596", "0.001906", "2024-1-19 17:22:27"
78, "2", "Develop", "0", "0.306596", "0.001948", "2024-1-19 17:22:28"
79, "2", "Develop", "0", "0.306596", "0.001991", "2024-1-19 17:22:28"
80, "2", "Develop", "0", "0.306596", "0.002034", "2024-1-19 17:22:29"
81, "2", "Develop", "0", "0.306596", "0.002076", "2024-1-19 17:22:29"
82, "2", "Develop", "0", "0.306596", "0.002121", "2024-1-19 17:22:30"
83, "2", "Develop", "0", "0.306596", "0.002164", "2024-1-19 17:22:31"
84, "2", "Develop", "0", "0.306596", "0.002206", "2024-1-19 17:22:31"
85, "2", "Develop", "0", "0.306596", "0.002249", "2024-1-19 17:22:32"
86, "2", "Develop", "0", "0.306596", "0.002294", "2024-1-19 17:22:32"
87, "2", "Develop", "0", "0.306596", "0.002336", "2024-1-19 17:22:33"
88, "2", "Develop", "0", "0.306596", "0.002379", "2024-1-19 17:22:33"
89, "2", "Develop", "0", "0.306596", "0.002424", "2024-1-19 17:22:34"
90, "2", "Develop", "0", "0.306596", "0.002467", "2024-1-19 17:22:34"
91, "2", "Develop", "0", "0.306596", "0.002509", "2024-1-19 17:22:35"
92, "2", "Develop", "0", "0.306596", "0.002554", "2024-1-19 17:22:35"
