id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
38, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:34", "2024-1-29 16:58:35", "12892.331055,-4065.771973", "13064.267578,-4124.008789", "1.815315"
39, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:35", "2024-1-29 16:58:35", "13064.65625,-4123.842285", "13220.0,-4174.436523", "1.633754"
40, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:12", "2024-1-29 16:58:37", "0.0,0.0", "4.537989,-11.853529", "0.126925"
41, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:37", "2024-1-29 16:58:38", "13215.538086,-4162.697266", "13204.585938,-4044.973389", "1.182323"
42, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:37", "2024-1-29 16:58:40", "0.0,0.0", "-1.927828,15.114831", "0.152373"
43, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:40", "2024-1-29 16:58:41", "13206.898438,-4060.904053", "13220.0,-4118.54541", "0.591115"
44, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:40", "2024-1-29 16:58:43", "0.0,0.0", "4.997934,-14.911402", "0.157267"
45, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:43", "2024-1-29 16:58:43", "13215.001953,-4103.633789", "13178.885742,-3838.178223", "2.679014"
46, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:43", "2024-1-29 16:58:43", "13179.750977,-3838.321289", "13220.0,-3762.328369", "0.859938"
47, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:45", "2024-1-29 16:58:45", "13216.322266,-3760.265625", "13169.353516,-3662.197021", "1.087357"
48, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:46", "2024-1-29 16:58:46", "13170.445312,-3657.442139", "13137.287109,-3620.692871", "0.494973"
49, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:43", "2024-1-29 16:58:47", "0.0,0.0", "-9.411655,10.167192", "0.138546"
50, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:48", "2024-1-29 16:58:48", "13143.012695,-3640.355225", "13109.8125,-3838.465088", "2.008726"
51, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:48", "2024-1-29 16:58:48", "13108.609375,-3838.95752", "13024.957031,-4014.7229", "1.946566"
52, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:48", "2024-1-29 16:58:48", "13024.27832,-4014.408691", "12934.46582,-4166.545898", "1.766689"
53, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:49", "2024-1-29 16:58:49", "12934.625977,-4167.704102", "12876.436523,-4298.589355", "1.432373"
54, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:49", "2024-1-29 16:58:49", "12877.006836,-4298.51709", "12834.124023,-4406.150879", "1.158618"
55, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:47", "2024-1-29 16:58:51", "0.0,0.0", "-7.277943,-9.423029", "0.119064"
56, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:51", "2024-1-29 16:58:52", "12839.342773,-4391.181152", "12961.782227,-4284.020508", "1.627113"
57, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:53", "2024-1-29 16:58:53", "12960.822266,-4283.658691", "13006.401367,-4148.586914", "1.425544"
58, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:51", "2024-1-29 16:58:54", "0.0,0.0", "1.62546,10.479528", "0.106048"
59, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:54", "2024-1-29 16:58:56", "1.62546,10.479528", "3.351345,-0.064354", "0.106842"
60, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:57", "2024-1-29 16:58:57", "12999.401367,-4150.833496", "12917.80957,-3919.943848", "2.448818"
61, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:57", "2024-1-29 16:58:58", "12916.577148,-3918.768311", "12735.166016,-3761.931396", "2.398085"
62, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:58", "2024-1-29 16:58:58", "12735.21582,-3761.630127", "12574.255859,-3615.414307", "2.174562"
63, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:58:58", "2024-1-29 16:58:58", "12573.922852,-3615.044434", "12461.620117,-3491.287109", "1.671155"
64, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:58:56", "2024-1-29 16:59:0", "0.0,0.0", "-10.613995,-2.416146", "0.108855"
65, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:0", "2024-1-29 16:59:1", "-10.613995,-2.416146", "-9.468693,10.517117", "0.129839"
66, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:1", "2024-1-29 16:59:1", "12471.088867,-3501.804199", "12492.826172,-3675.280273", "1.748326"
67, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:1", "2024-1-29 16:59:1", "12492.230469,-3675.77002", "12520.93457,-3846.274414", "1.729037"
