id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
10,"9999","Develop","[0.084817;0.084785;0.071586;0.071586;0.071586;0.08111;0.081004;0.080972;0.080951;0.080927;]","[0.0;0.000011;0.000022;0.000032;0.000042;0.000054;0.000066;0.000078;0.00009;0.000102;]","[(-14021.767578;9922.016602);(-14021.767578;9922.016602);(-14085.209961;9957.660156);(-14085.209961;9957.660156);(-14085.209961;9957.660156);(-14088.477539;9900.615234);(-14088.870117;9900.923828);(-14088.933594;9901.051758);(-14088.979492;9901.130859);(-14089.040039;9901.220703);]","[2024-2-19 11:52:40;2024-2-19 11:52:41;2024-2-19 11:52:41;2024-2-19 11:52:42;2024-2-19 11:52:42;2024-2-19 11:52:43;2024-2-19 11:52:43;2024-2-19 11:52:44;2024-2-19 11:52:44;2024-2-19 11:52:45;]"
11,"9999","Develop","[0.080853;0.080731;0.080757;0.080852;0.080735;0.080387;0.080638;0.080704;0.08093;0.081173;]","[0.000115;0.000127;0.000139;0.000151;0.000163;0.000175;0.000187;0.000199;0.000211;0.000224;]","[(-14089.102539;9901.577148);(-14089.525391;9901.949219);(-14088.795898;9902.292969);(-14088.0;9902.30957);(-14087.84668;9903.040039);(-14089.657227;9903.714844);(-14088.908203;9902.859375);(-14088.861328;9902.537109);(-14088.538086;9901.539062);(-14087.894531;9900.665039);]","[2024-2-19 11:52:45;2024-2-19 11:52:46;2024-2-19 11:52:46;2024-2-19 11:52:47;2024-2-19 11:52:47;2024-2-19 11:52:48;2024-2-19 11:52:48;2024-2-19 11:52:49;2024-2-19 11:52:49;2024-2-19 11:52:50;]"
12,"9999","Develop","[0.084817;0.084725;0.084518;0.08398;0.083115;0.082369;0.082153;0.082092;0.081611;0.081586;]","[0.0;0.000013;0.000026;0.000039;0.000053;0.000065;0.000077;0.000089;0.000102;0.000115;]","[(-14021.767578;9922.016602);(-14022.601562;9921.853516);(-14022.760742;9922.734375);(-14023.866211;9924.705078);(-14025.749023;9927.870117);(-14028.69043;9929.950195);(-14030.226562;9930.191406);(-14031.294922;9929.914062);(-14033.037109;9931.371094);(-14032.537109;9931.766602);]","[2024-2-19 12:15:42;2024-2-19 12:15:42;2024-2-19 12:15:43;2024-2-19 12:15:43;2024-2-19 12:15:44;2024-2-19 12:15:45;2024-2-19 12:15:45;2024-2-19 12:15:46;2024-2-19 12:15:46;2024-2-19 12:15:47;]"
13,"9999","Develop","[0.082499;0.082948;0.085296;0.085296;0.085296;0.085296;0.085296;0.085296;0.085296;0.085296;]","[0.000127;0.000139;0.000152;0.000164;0.000176;0.000188;0.000201;0.000213;0.000226;0.000238;]","[(-14029.611328;9928.8125);(-14027.575195;9927.707031);(-14015.842773;9922.736328);(-14015.842773;9922.736328);(-14015.842773;9922.736328);(-14015.842773;9922.736328);(-14015.842773;9922.736328);(-14015.842773;9922.736328);(-14015.842773;9922.736328);(-14015.842773;9922.736328);]","[2024-2-19 12:15:47;2024-2-19 12:15:48;2024-2-19 12:15:48;2024-2-19 12:15:49;2024-2-19 12:15:49;2024-2-19 12:15:50;2024-2-19 12:15:50;2024-2-19 12:15:51;2024-2-19 12:15:51;2024-2-19 12:15:52;]"
14,"9999","Develop","[0.084817;0.091181;0.084793;0.084793;0.084793;0.087934;0.086317;0.086371;0.086485;0.087342;]","[0.0;0.000013;0.000026;0.000038;0.00005;0.000063;0.000076;0.00009;0.000102;0.000115;]","[(-14021.767578;9922.016602);(-14038.371094;9883.708008);(-14021.6875;9922.016602);(-14021.6875;9922.016602);(-14021.6875;9922.016602);(-14068.40918;9879.623047);(-14076.361328;9882.12207);(-14076.333008;9881.876953);(-14076.056641;9881.508789);(-14075.365234;9877.84082);]","[2024-2-19 12:57:11;2024-2-19 12:57:11;2024-2-19 12:57:11;2024-2-19 12:57:12;2024-2-19 12:57:12;2024-2-19 12:57:13;2024-2-19 12:57:14;2024-2-19 12:57:14;2024-2-19 12:57:15;2024-2-19 12:57:15;]"
15,"9999","Develop","[0.087517;0.087597;0.08746;0.086579;0.086382;0.08639;0.086375;0.086438;0.087181;0.087675;]","[0.000128;0.000141;0.000153;0.000166;0.00018;0.000192;0.000205;0.000218;0.000232;0.000245;]","[(-14074.999023;9877.250977);(-14074.914062;9876.925781);(-14074.955078;9877.548828);(-14075.738281;9881.264648);(-14075.881836;9882.123047);(-14075.814453;9882.132812);(-14075.806641;9882.205078);(-14075.679688;9881.986328);(-14068.277344;9883.270508);(-14065.90625;9882.462891);]","[2024-2-19 12:57:16;2024-2-19 12:57:16;2024-2-19 12:57:17;2024-2-19 12:57:17;2024-2-19 12:57:18;2024-2-19 12:57:18;2024-2-19 12:57:19;2024-2-19 12:57:19;2024-2-19 12:57:20;2024-2-19 12:57:20;]"
16,"9999","Develop","[0.084817;0.086706;0.086706;0.086706;0.086706;0.086706;0.086706;0.086706;0.086706;0.084757;]","[0.0;0.000012;0.000025;0.000038;0.00005;0.000063;0.000075;0.000088;0.0001;0.000112;]","[(-14021.767578;9922.016602);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14011.655273;9918.455078);(-14021.737305;9922.164062);]","[2024-2-19 13:1:24;2024-2-19 13:1:25;2024-2-19 13:1:25;2024-2-19 13:1:26;2024-2-19 13:1:26;2024-2-19 13:1:27;2024-2-19 13:1:27;2024-2-19 13:1:28;2024-2-19 13:1:28;2024-2-19 13:1:29;]"
17,"9999","Develop","[0.084757;0.084755;0.080625;0.08065;0.080708;0.080729;0.080767;0.080775;0.080791;0.080784;]","[0.000125;0.000137;0.000149;0.000161;0.000173;0.000185;0.000198;0.000209;0.000222;0.000234;]","[(-14021.737305;9922.164062);(-14021.735352;9922.173828);(-14038.552734;9933.368164);(-14038.463867;9933.288086);(-14038.131836;9933.176758);(-14038.09082;9933.088867);(-14037.96582;9932.962891);(-14037.958984;9932.924805);(-14037.921875;9932.865234);(-14037.912109;9932.907227);]","[2024-2-19 13:1:29;2024-2-19 13:1:30;2024-2-19 13:1:30;2024-2-19 13:1:31;2024-2-19 13:1:31;2024-2-19 13:1:32;2024-2-19 13:1:32;2024-2-19 13:1:33;2024-2-19 13:1:34;2024-2-19 13:1:34;]"
18,"9999","Develop","[0.084817;0.084785;0.069828;0.069828;0.069828;0.081037;0.081592;0.081184;0.081141;0.081156;]","[0.0;0.000011;0.000022;0.000032;0.000042;0.000054;0.000066;0.000078;0.00009;0.000102;]","[(-14021.767578;9922.016602);(-14021.767578;9922.016602);(-14053.786133;9986.422852);(-14053.786133;9986.422852);(-14053.786133;9986.422852);(-14034.517578;9933.462891);(-14033.920898;9930.989258);(-14036.380859;9931.701172);(-14036.712891;9931.734375);(-14036.592773;9931.723633);]","[2024-2-19 13:6:0;2024-2-19 13:6:0;2024-2-19 13:6:1;2024-2-19 13:6:1;2024-2-19 13:6:2;2024-2-19 13:6:2;2024-2-19 13:6:3;2024-2-19 13:6:3;2024-2-19 13:6:4;2024-2-19 13:6:4;]"
19,"9999","Develop","[0.081139;0.081164;0.081178;0.081187;0.081165;0.081161;0.081145;0.081141;0.081122;0.081074;]","[0.000114;0.000126;0.000138;0.000151;0.000163;0.000175;0.000187;0.000199;0.000211;0.000223;]","[(-14036.681641;9931.760742);(-14036.617188;9931.673828);(-14036.576172;9931.623047);(-14036.699219;9931.509766);(-14036.740234;9931.59668);(-14036.764648;9931.605469);(-14036.865234;9931.633789);(-14036.891602;9931.638672);(-14036.950195;9931.702148);(-14037.358398;9931.719727);]","[2024-2-19 13:6:5;2024-2-19 13:6:5;2024-2-19 13:6:6;2024-2-19 13:6:6;2024-2-19 13:6:7;2024-2-19 13:6:7;2024-2-19 13:6:8;2024-2-19 13:6:8;2024-2-19 13:6:9;2024-2-19 13:6:10;]"
20,"9999","Develop","[0.081092;0.081068;0.08109;0.081088;0.080983;0.080808;0.080804;0.08086;0.080837;0.080801;]","[0.000235;0.000247;0.000259;0.000271;0.000284;0.000296;0.000308;0.00032;0.000332;0.000344;]","[(-14037.341797;9931.638672);(-14037.529297;9931.658203);(-14037.30957;9931.667969);(-14037.222656;9931.723633);(-14037.751953;9931.96582);(-14038.927734;9932.210938);(-14038.890625;9932.25);(-14038.472656;9932.195312);(-14038.734375;9932.171875);(-14038.758789;9932.34082);]","[2024-2-19 13:6:10;2024-2-19 13:6:11;2024-2-19 13:6:11;2024-2-19 13:6:12;2024-2-19 13:6:12;2024-2-19 13:6:13;2024-2-19 13:6:13;2024-2-19 13:6:14;2024-2-19 13:6:14;2024-2-19 13:6:15;]"
21,"9999","Develop","[0.080804;0.080753;0.080688;0.080692;0.080702;0.080693;0.08149;0.081026;0.080763;0.080763;]","[0.000356;0.000367;0.000379;0.000391;0.000404;0.000416;0.000428;0.00044;0.000452;0.000464;]","[(-14038.789062;9932.306641);(-14038.99707;9932.456055);(-14039.563477;9932.474609);(-14039.71582;9932.367188);(-14039.704102;9932.322266);(-14039.629883;9932.414062);(-14041.853516;9927.114258);(-14040.738281;9930.09375);(-14034.97168;9934.607422);(-14034.97168;9934.607422);]","[2024-2-19 13:6:15;2024-2-19 13:6:16;2024-2-19 13:6:16;2024-2-19 13:6:17;2024-2-19 13:6:17;2024-2-19 13:6:18;2024-2-19 13:6:18;2024-2-19 13:6:19;2024-2-19 13:6:19;2024-2-19 13:6:20;]"
22,"9999","Develop","[0.084817;0.080942;0.081011;0.080912;0.080786;0.081346;0.081901;0.082003;0.081315;0.081356;]","[0.0;0.000011;0.000025;0.000037;0.000049;0.000061;0.000073;0.000085;0.000097;0.00011;]","[(-14021.767578;9922.016602);(-14035.28418;9933.632812);(-14037.772461;9931.811523);(-14037.744141;9932.328125);(-14037.640625;9933.026367);(-14039.755859;9929.012695);(-14041.835938;9925.047852);(-14042.719727;9924.035156);(-14042.46582;9927.65332);(-14042.21582;9927.584961);]","[2024-2-19 13:6:30;2024-2-19 13:6:31;2024-2-19 13:6:31;2024-2-19 13:6:32;2024-2-19 13:6:32;2024-2-19 13:6:33;2024-2-19 13:6:33;2024-2-19 13:6:34;2024-2-19 13:6:34;2024-2-19 13:6:35;]"
23,"9999","Develop","[0.083181;0.081792;0.082067;0.082516;0.082825;0.082765;0.082101;0.081358;0.081587;0.082216;]","[0.000122;0.000134;0.000147;0.00016;0.000172;0.000184;0.000197;0.000209;0.000221;0.000233;]","[(-14043.373047;9917.798828);(-14042.977539;9924.953125);(-14040.31543;9925.06543);(-14038.825195;9923.662109);(-14037.673828;9922.775391);(-14039.351562;9922.129883);(-14043.553711;9923.071289);(-14044.838867;9926.094727);(-14044.433594;9925.162109);(-14043.363281;9922.599609);]","[2024-2-19 13:6:35;2024-2-19 13:6:36;2024-2-19 13:6:36;2024-2-19 13:6:37;2024-2-19 13:6:37;2024-2-19 13:6:38;2024-2-19 13:6:38;2024-2-19 13:6:39;2024-2-19 13:6:39;2024-2-19 13:6:40;]"
24,"9999","Develop","[0.084817;0.069943;0.069956;0.069956;0.079966;0.080619;0.080456;0.07986;0.080074;0.080198;]","[0.0;0.000012;0.000022;0.000032;0.000043;0.000055;0.000067;0.000079;0.000091;0.000102;]","[(-14021.767578;9922.016602);(-14061.277344;9981.6875);(-14061.292969;9981.599609);(-14061.292969;9981.599609);(-14035.423828;9938.466797);(-14038.042969;9933.679688);(-14046.324219;9929.90332);(-14050.500977;9930.630859);(-14049.225586;9930.242188);(-14048.349609;9930.092773);]","[2024-2-19 13:7:27;2024-2-19 13:7:28;2024-2-19 13:7:28;2024-2-19 13:7:29;2024-2-19 13:7:29;2024-2-19 13:7:30;2024-2-19 13:7:30;2024-2-19 13:7:31;2024-2-19 13:7:31;2024-2-19 13:7:32;]"
