id,user_id,scenario_type,event_type,tutorial_item_id,event_datetime
0,"85","T2_BasicEmergency","Open","None","2024-9-16 14:37:1.712"
1,"85","T2_BasicEmergency","Close","None","2024-9-16 14:37:4.797"
2,"85","T2_BasicEmergency","Open","None","2024-9-16 14:37:5.217"
3,"85","T2_BasicEmergency","Close","None","2024-9-16 14:37:7.327"
4,"85","T2_BasicEmergency","Open","None","2024-9-16 14:37:7.803"
5,"88","T2_BasicEmergency","Open","None","2024-9-16 14:42:6.770"
6,"88","T2_BasicEmergency","Close","None","2024-9-16 14:42:15.500"
7,"88","T2_BasicEmergency","Open","None","2024-9-16 14:42:16.335"
8,"98","T2_BasicEmergency","Open","None","2024-9-17 11:48:2.283"
9,"99","T2_BasicEmergency","Open","None","2024-9-17 11:51:0.822"
10,"101","T2_BasicEmergency","Open","None","2024-9-17 12:3:10.425"
11,"105","T2_BasicEmergency","Open","None","2024-9-17 15:59:3.194"
12,"105","T2_BasicEmergency","DemandHelp","MOV_RealWorld","2024-9-17 15:59:6.513"
13,"105","T2_BasicEmergency","Close","None","2024-9-17 15:59:15.255"
14,"105","T2_BasicEmergency","Open","None","2024-9-17 15:59:16.244"
15,"107","T2_BasicEmergency","Open","None","2024-9-17 16:21:17.85"
16,"107","T2_BasicEmergency","DemandHelp","MOV_RealWorldLimits","2024-9-17 16:21:21.666"
17,"107","T2_BasicEmergency","Close","None","2024-9-17 16:21:25.196"
18,"107","T2_BasicEmergency","Open","None","2024-9-17 16:21:26.111"
19,"107","T2_BasicEmergency","Close","None","2024-9-17 16:21:28.690"
20,"107","T2_BasicEmergency","Open","None","2024-9-17 16:21:29.580"
21,"107","T2_BasicEmergency","DemandHelp","MOV_VirtualWorldLimits","2024-9-17 16:21:32.884"
22,"107","T2_BasicEmergency","Close","None","2024-9-17 16:21:36.28"
