id,user_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
153,"9999","T1_BasicMechanics","3","[1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;]","[0.018979;0.01925;0.019514;0.019786;0.020057;0.02032;0.020592;0.020857;0.02112;0.02139;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 17:15:17.819;2024-9-12 17:15:18.332;2024-9-12 17:15:18.833;2024-9-12 17:15:19.345;2024-9-12 17:15:19.858;2024-9-12 17:15:20.358;2024-9-12 17:15:20.872;2024-9-12 17:15:21.373;2024-9-12 17:15:21.883;2024-9-12 17:15:22.384;]"
154,"9999","T1_BasicMechanics","3","[1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;]","[0.019933;0.020218;0.020496;0.020781;0.021065;0.021342;0.021628;0.021906;0.022182;0.022466;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 17:15:17.819;2024-9-12 17:15:18.332;2024-9-12 17:15:18.833;2024-9-12 17:15:19.345;2024-9-12 17:15:19.858;2024-9-12 17:15:20.358;2024-9-12 17:15:20.872;2024-9-12 17:15:21.373;2024-9-12 17:15:21.883;2024-9-12 17:15:22.385;]"
155,"9999","T1_BasicMechanics","3","[1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;]","[0.018952;0.019223;0.019487;0.019758;0.020028;0.020291;0.020563;0.020827;0.02109;0.02136;]","[(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 17:15:17.819;2024-9-12 17:15:18.332;2024-9-12 17:15:18.833;2024-9-12 17:15:19.345;2024-9-12 17:15:19.858;2024-9-12 17:15:20.358;2024-9-12 17:15:20.872;2024-9-12 17:15:21.373;2024-9-12 17:15:21.883;2024-9-12 17:15:22.385;]"
156,"9999","T1_BasicMechanics","3","[1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;]","[0.017993;0.01825;0.0185;0.018758;0.019014;0.019264;0.019522;0.019773;0.020022;0.020279;]","[(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);]","[2024-9-12 17:15:17.819;2024-9-12 17:15:18.332;2024-9-12 17:15:18.833;2024-9-12 17:15:19.345;2024-9-12 17:15:19.858;2024-9-12 17:15:20.358;2024-9-12 17:15:20.872;2024-9-12 17:15:21.373;2024-9-12 17:15:21.883;2024-9-12 17:15:22.385;]"
157,"9999","T1_BasicMechanics","3","[1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;]","[0.021661;0.021927;0.022198;0.022462;0.022729;0.023007;0.023275;0.023541;0.023807;0.024071;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 17:15:22.899;2024-9-12 17:15:23.400;2024-9-12 17:15:23.913;2024-9-12 17:15:24.416;2024-9-12 17:15:24.933;2024-9-12 17:15:25.444;2024-9-12 17:15:25.954;2024-9-12 17:15:26.457;2024-9-12 17:15:26.959;2024-9-12 17:15:27.461;]"
158,"9999","T1_BasicMechanics","3","[1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;]","[0.02275;0.02303;0.023314;0.023592;0.023872;0.024164;0.024446;0.024725;0.025005;0.025281;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 17:15:22.899;2024-9-12 17:15:23.400;2024-9-12 17:15:23.913;2024-9-12 17:15:24.416;2024-9-12 17:15:24.933;2024-9-12 17:15:25.444;2024-9-12 17:15:25.954;2024-9-12 17:15:26.457;2024-9-12 17:15:26.959;2024-9-12 17:15:27.461;]"
159,"9999","T1_BasicMechanics","3","[1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;]","[0.02163;0.021896;0.022166;0.02243;0.022696;0.022974;0.023242;0.023507;0.023773;0.024036;]","[(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 17:15:22.899;2024-9-12 17:15:23.400;2024-9-12 17:15:23.913;2024-9-12 17:15:24.416;2024-9-12 17:15:24.933;2024-9-12 17:15:25.444;2024-9-12 17:15:25.954;2024-9-12 17:15:26.457;2024-9-12 17:15:26.959;2024-9-12 17:15:27.462;]"
160,"9999","T1_BasicMechanics","3","[1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;]","[0.020535;0.020787;0.021044;0.021295;0.021547;0.021811;0.022066;0.022317;0.02257;0.02282;]","[(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);]","[2024-9-12 17:15:22.899;2024-9-12 17:15:23.401;2024-9-12 17:15:23.913;2024-9-12 17:15:24.416;2024-9-12 17:15:24.933;2024-9-12 17:15:25.444;2024-9-12 17:15:25.954;2024-9-12 17:15:26.457;2024-9-12 17:15:26.959;2024-9-12 17:15:27.462;]"
161,"9999","T1_BasicMechanics","3","[1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;]","[0.02434;0.024611;0.024876;0.025147;0.025419;0.025684;0.025947;0.026218;0.026489;0.026766;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 17:15:27.970;2024-9-12 17:15:28.483;2024-9-12 17:15:28.984;2024-9-12 17:15:29.496;2024-9-12 17:15:30.11;2024-9-12 17:15:30.513;2024-9-12 17:15:31.12;2024-9-12 17:15:31.526;2024-9-12 17:15:32.50;2024-9-12 17:15:32.564;]"
162,"9999","T1_BasicMechanics","3","[1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;]","[0.025564;0.025849;0.026127;0.026412;0.026697;0.026976;0.027252;0.027537;0.027822;0.028113;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 17:15:27.970;2024-9-12 17:15:28.483;2024-9-12 17:15:28.984;2024-9-12 17:15:29.496;2024-9-12 17:15:30.11;2024-9-12 17:15:30.513;2024-9-12 17:15:31.12;2024-9-12 17:15:31.526;2024-9-12 17:15:32.50;2024-9-12 17:15:32.564;]"
