user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
41,CarAccident,2023-05-04 11:20:49,2023-05-04 11:20:49,X=-10743.113 Y=-158.197 Z=3.322,X=-10840.979 Y=-249.457 Z=3.322,1.338138
41,CarAccident,2023-05-04 11:20:49,2023-05-04 11:20:49,X=-10840.736 Y=-248.856 Z=3.322,X=-10935.380 Y=-336.501 Z=3.322,1.289922
41,CarAccident,2023-05-04 11:20:51,2023-05-04 11:20:51,X=-10909.307 Y=-345.165 Z=3.322,X=-10769.598 Y=-435.434 Z=3.322,1.663346
41,CarAccident,2023-05-04 11:20:52,2023-05-04 11:20:52,X=-10774.310 Y=-443.755 Z=3.322,X=-10705.556 Y=-618.452 Z=3.322,1.877398
41,CarAccident,2023-05-04 11:20:52,2023-05-04 11:20:52,X=-10706.014 Y=-619.106 Z=3.322,X=-10596.250 Y=-785.174 Z=3.322,1.990642
41,CarAccident,2023-05-04 11:20:53,2023-05-04 11:20:53,X=-10596.791 Y=-782.355 Z=3.322,X=-10417.868 Y=-917.631 Z=3.322,2.243054
41,CarAccident,2023-05-04 11:20:53,2023-05-04 11:20:53,X=-10417.562 Y=-917.595 Z=3.322,X=-10117.389 Y=-1003.887 Z=3.322,3.1233
41,CarAccident,2023-05-04 11:20:53,2023-05-04 11:20:54,X=-10117.587 Y=-1003.324 Z=3.322,X=-9822.689 Y=-1097.443 Z=3.322,3.095529
41,CarAccident,2023-05-04 11:20:54,2023-05-04 11:20:54,X=-9822.632 Y=-1097.180 Z=3.322,X=-9532.564 Y=-1191.724 Z=3.322,3.050863
41,CarAccident,2023-05-04 11:20:54,2023-05-04 11:20:54,X=-9532.517 Y=-1191.366 Z=3.322,X=-9246.643 Y=-1283.404 Z=3.322,3.003246
41,CarAccident,2023-05-04 11:20:54,2023-05-04 11:20:54,X=-9246.670 Y=-1283.102 Z=3.322,X=-8963.750 Y=-1375.078 Z=3.322,2.974952
41,CarAccident,2023-05-04 11:20:54,2023-05-04 11:20:54,X=-8963.759 Y=-1374.690 Z=3.322,X=-8682.195 Y=-1467.224 Z=3.322,2.963791
41,CarAccident,2023-05-04 11:20:54,2023-05-04 11:20:55,X=-8682.186 Y=-1467.134 Z=3.322,X=-8407.765 Y=-1560.038 Z=3.322,2.897207
41,CarAccident,2023-05-04 11:20:55,2023-05-04 11:20:55,X=-8407.719 Y=-1560.118 Z=3.322,X=-8138.493 Y=-1648.974 Z=3.322,2.835096
41,CarAccident,2023-05-04 11:20:55,2023-05-04 11:20:55,X=-8138.370 Y=-1649.101 Z=5.726,X=-7871.489 Y=-1742.871 Z=5.726,2.82875
41,CarAccident,2023-05-04 11:20:55,2023-05-04 11:20:55,X=-7871.506 Y=-1743.752 Z=6.658,X=-7623.991 Y=-1839.406 Z=6.658,2.653553
41,CarAccident,2023-05-04 11:20:56,2023-05-04 11:20:56,X=-7624.518 Y=-1840.179 Z=6.658,X=-7419.752 Y=-1881.000 Z=6.658,2.087949
41,CarAccident,2023-05-04 11:21:14,2023-05-04 11:21:14,X=-7428.879 Y=-1872.110 Z=6.658,X=-7625.167 Y=-1855.731 Z=6.658,1.969693
41,CarAccident,2023-05-04 11:21:14,2023-05-04 11:21:14,X=-7624.651 Y=-1854.167 Z=6.658,X=-7815.045 Y=-1793.426 Z=6.658,1.99848
41,CarAccident,2023-05-04 11:21:15,2023-05-04 11:21:15,X=-7814.170 Y=-1791.980 Z=6.658,X=-7997.246 Y=-1717.312 Z=6.658,1.97717
41,CarAccident,2023-05-04 11:21:15,2023-05-04 11:21:15,X=-7991.210 Y=-1714.039 Z=6.658,X=-8126.834 Y=-1560.579 Z=6.658,2.048018
41,CarAccident,2023-05-04 11:21:17,2023-05-04 11:21:17,X=-8122.295 Y=-1564.268 Z=3.322,X=-7970.405 Y=-1349.895 Z=3.322,2.627287
41,CarAccident,2023-05-04 11:21:20,2023-05-04 11:21:20,X=-7982.628 Y=-1346.889 Z=3.322,X=-8010.034 Y=-1552.726 Z=3.322,2.076531
41,CarAccident,2023-05-04 11:21:21,2023-05-04 11:21:21,X=-8021.324 Y=-1544.481 Z=3.322,X=-8255.143 Y=-1566.589 Z=3.322,2.348617
41,CarAccident,2023-05-04 11:21:22,2023-05-04 11:21:22,X=-8256.149 Y=-1564.829 Z=3.322,X=-8488.345 Y=-1586.447 Z=3.322,2.331995
41,CarAccident,2023-05-04 11:21:22,2023-05-04 11:21:22,X=-8488.239 Y=-1587.483 Z=3.322,X=-8714.210 Y=-1607.632 Z=3.322,2.268672
41,CarAccident,2023-05-04 11:21:23,2023-05-04 11:21:23,X=-8713.758 Y=-1608.709 Z=5.726,X=-8925.939 Y=-1689.509 Z=5.726,2.270454
41,CarAccident,2023-05-04 11:21:23,2023-05-04 11:21:23,X=-8925.867 Y=-1689.468 Z=5.726,X=-9140.329 Y=-1766.225 Z=5.726,2.277842
41,CarAccident,2023-05-04 11:21:23,2023-05-04 11:21:24,X=-9138.904 Y=-1768.939 Z=5.726,X=-9290.576 Y=-1905.353 Z=5.726,2.039929
41,CarAccident,2023-05-04 11:21:24,2023-05-04 11:21:24,X=-9291.069 Y=-1905.530 Z=5.726,X=-9401.337 Y=-2049.207 Z=5.726,1.811129
