0,0,0,0,0,0,494,76,0,0,0
1,0,0,0,0,0,511,76,0,0,0
2,0,0,0,0,0,527,78,0,0,0
3,0,0,0,0,3,533,76,0,0,0
4,0,0,0,0,0,535,78,0,0,0
5,0,0,0,0,0,529,76,0,0,0
6,0,0,0,0,0,528,76,0,0,0
7,0,0,0,0,3,519,78,0,0,0
8,0,0,0,0,0,521,75,0,0,0
9,0,0,0,0,0,523,78,0,0,0
10,0,0,0,0,0,534,77,0,0,0
11,0,0,0,0,3,544,77,0,0,0
12,0,0,0,0,0,549,76,0,0,0
13,0,0,0,0,0,552,76,0,0,0
14,0,0,0,0,0,550,78,0,0,0
15,0,0,0,0,0,539,77,0,0,0
0,0,0,0,0,0,538,75,0,0,0
1,0,0,0,0,0,534,78,0,0,0
2,0,0,0,0,0,542,77,0,0,0
3,0,0,0,0,3,535,77,0,0,0
4,0,0,0,0,0,472,78,0,0,0
5,0,0,0,0,0,447,76,0,0,0
6,0,0,0,0,0,516,77,0,0,0
7,0,0,0,0,3,588,78,0,0,0
8,0,0,0,0,0,520,75,0,0,0
9,0,0,0,0,0,510,78,0,0,0
10,0,0,0,0,0,519,75,0,0,0
11,0,0,0,0,3,524,78,0,0,0
12,0,0,0,0,0,527,78,0,0,0
13,0,0,0,0,0,522,76,0,0,0
14,0,0,0,0,0,517,78,0,0,0
15,0,0,0,0,3,508,76,0,0,0
0,0,0,0,0,0,507,76,0,0,0
1,0,0,0,0,0,504,78,0,0,0
2,0,0,0,0,0,507,77,0,0,0
3,0,0,0,0,3,500,78,0,0,0
4,0,0,0,0,0,498,76,0,0,0
5,0,0,0,0,0,499,77,0,0,0
6,0,0,0,0,0,499,78,0,0,0
7,0,0,0,0,3,489,77,0,0,0
8,0,0,0,0,0,483,77,0,0,0
9,0,0,0,0,0,470,77,0,0,0
10,0,0,0,0,0,463,78,0,0,0
11,0,0,0,0,3,448,76,0,0,0
12,0,0,0,0,0,447,78,0,0,0
13,0,0,0,0,0,446,78,0,0,0
14,0,0,0,0,0,450,76,0,0,0
15,0,0,0,0,3,453,78,0,0,0
0,0,0,0,0,0,463,75,0,0,0
1,0,0,0,0,0,467,78,0,0,0
2,0,0,0,0,0,473,77,0,0,0
3,0,0,0,0,3,477,77,0,0,0
4,0,0,0,0,0,483,78,0,0,0
5,0,0,0,0,0,480,77,0,0,0
6,0,0,0,0,0,490,75,0,0,0
7,0,0,0,0,3,493,77,0,0,0
8,0,0,0,0,1,497,76,0,0,0
9,0,0,0,0,0,501,78,0,0,0
10,0,0,0,0,0,507,78,0,0,0
11,0,0,0,0,1,509,75,0,0,0
12,0,0,0,0,0,502,78,0,0,0
