,ID,GROUP,HMD,SCENARIO,OI_NUM,OI_NUM_TYPE_DEFAULT,OI_NUM_TYPE_START_DETECTION,OI_NUM_TYPE_STOP_DETECTION,OI_NUM_TYPE_GRAB,OI_NUM_TYPE_RELEASE,OI_NUM_ACTOR_0,OI_NUM_ACTOR_1,OI_NUM_ACTOR_2,OI_NUM_ACTOR_3,OI_NUM_ACTOR_4,OI_NUM_ACTOR_5,OI_NUM_ACTOR_6,OI_NUM_ACTOR_7,OI_NUM_ACTOR_8,OI_NUM_ACTOR_9,OI_NUM_ACTOR_10,OI_NUM_ACTOR_11,OI_TIME_INTER,OI_TIME_CP_SS,OI_TIME_CP_GR
0,TEST,TSV,QUEST,ALL,86.0,0.0,28.0,28.0,15.0,15.0,0.0,0.0,46.0,24.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.14,0.21,1.57
1,TEST,TSV,QUEST,T1,32.0,0.0,11.0,11.0,5.0,5.0,0.0,0.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.42,0.12,1.62
2,TEST,TSV,QUEST,S1,54.0,0.0,17.0,17.0,10.0,10.0,0.0,0.0,32.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.27,2.17
