id,user_id,scenario_type,event_type,event_state,event_datetime
0,"ALE","S2_BasicEmergency","00001","Completed","2024-10-21 16:46:37.128"
1,"ALE","S2_BasicEmergency","S2001","Completed","2024-10-21 16:47:41.819"
2,"ALE","S2_BasicEmergency","S2006","Completed","2024-10-21 16:47:54.460"
3,"ALE","S2_BasicEmergency","S2002","Completed","2024-10-21 16:48:4.724"
4,"ALE","S2_BasicEmergency","S2003","Completed","2024-10-21 16:48:15.335"
5,"ALE","S2_BasicEmergency","S2007","Completed","2024-10-21 16:48:16.591"
6,"ALE","S2_BasicEmergency","S2008","Completed","2024-10-21 16:48:23.854"
7,"ALE","S2_BasicEmergency","S2004","Completed","2024-10-21 16:48:39.850"
8,"ALE","S2_BasicEmergency","S2005","Completed","2024-10-21 16:48:44.220"
9,"ALE","S2_BasicEmergency","S2009","Completed","2024-10-21 16:49:10.236"
10,"ALE","S2_BasicEmergency","00002","Completed","2024-10-21 16:49:22.915"
