id,user_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
0,"ALE","S2_BasicEmergency","5","BP_WalkieTalkie_C_0","grab","Right","2024-10-21 16:47:22.467"
1,"ALE","S2_BasicEmergency","5","BP_WalkieTalkie_C_0","stop_detection","Right","2024-10-21 16:47:22.486"
2,"ALE","S2_BasicEmergency","5","BP_WalkieTalkie_C_0","release","Right","2024-10-21 16:47:44.35"
3,"ALE","S2_BasicEmergency","2","BP_TrafficCone_C_0","grab","Right","2024-10-21 16:47:47.189"
4,"ALE","S2_BasicEmergency","2","BP_TrafficCone_C_0","stop_detection","Right","2024-10-21 16:47:47.207"
5,"ALE","S2_BasicEmergency","2","BP_TrafficCone_C_0","release","Right","2024-10-21 16:47:54.496"
6,"ALE","S2_BasicEmergency","4","BP_Dosimeter_EPD_C_0","grab","Left","2024-10-21 16:48:4.748"
7,"ALE","S2_BasicEmergency","4","BP_Dosimeter_EPD_C_0","stop_detection","Left","2024-10-21 16:48:4.770"
8,"ALE","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","grab","Right","2024-10-21 16:48:5.184"
9,"ALE","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","stop_detection","Right","2024-10-21 16:48:5.207"
10,"ALE","S2_BasicEmergency","4","BP_Dosimeter_EPD_C_0","release","Left","2024-10-21 16:48:9.167"
11,"ALE","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","release","Right","2024-10-21 16:48:42.381"
12,"ALE","S2_BasicEmergency","5","BP_WalkieTalkie_C_1","grab","Left","2024-10-21 16:48:55.18"
13,"ALE","S2_BasicEmergency","5","BP_WalkieTalkie_C_1","stop_detection","Left","2024-10-21 16:48:55.42"
14,"ALE","S2_BasicEmergency","5","BP_WalkieTalkie_C_1","release","Left","2024-10-21 16:49:10.522"
